 Day:+25, З 1м/с, 746,  Evening:+23, 744
 Day:+27, СВ 2м/с, 754,  Evening:+22, 754
 Day:+25, В 3м/с, 760,  Evening:+19, 761
 Day:+26, В 2м/с, 761,  Evening:+17, 760
 Day:+30, СВ 3м/с, 758,  Evening:+26, 758
 Day:+30, В 3м/с, 758,  Evening:+26, 758
 Day:+32, В 1м/с, 760,  Evening:+25, 760
 Day:+32, СВ 3м/с, 759,  Evening:+26, 759
 Day:+31, СВ 2м/с, 757,  Evening:+26, 756
 Day:+32, З 2м/с, 755,  Evening:+27, 755
 Day:+32, В 1м/с, 755,  Evening:+27, 755
 Day:+32, С 1м/с, 755,  Evening:+23, 754
 Day:+32, В 2м/с, 753,  Evening:+26, 752
 Day:+34, ЮЗ 3м/с, 748,  Evening:+27, 747
 Day:+15, В 1м/с, 745,  Evening:+15, 746
 Day:+25, СВ 3м/с, 746,  Evening:+20, 746
 Day:+21, СВ 3м/с, 744,  Evening:+16, 744
 Day:+21, С 2м/с, 744,  Evening:+16, 746
 Day:+20, С 2м/с, 749,  Evening:+17, 750
 Day:+25, З 3м/с, 750,  Evening:+17, 750
 Day:+29, З 2м/с, 750,  Evening:+21, 750
 Day:+30, Ю 1м/с, 751,  Evening:+25, 751
 Day:+30, СЗ 2м/с, 749,  Evening:+25, 749
 Day:+31, СВ 1м/с, 749,  Evening:+26, 750
 Day:+32, В 2м/с, 751,  Evening:+27, 751
 Day:+27, ЮЗ 3м/с, 753,  Evening:+24, 752
 Day:+31, В 2м/с, 750,  Evening:+28, 748
 Day:+27, В 3м/с, 745,  Evening:+23, 741
 Day:+25, З 4м/с, 743,  Evening:+22, 746
 Day:+27, ЮЗ 2м/с, 749,  Evening:+22, 749
 Day:+28, З 2м/с, 749,  Evening:+25, 749
 Day:+31, В 3м/с, 746,  Evening:+21, 744
 Day:+23, ЮЗ 3м/с, 747,  Evening:+20, 748
 Day:+22, ЮЗ 2м/с, 746,  Evening:+18, 745
 Day:+26, В 3м/с, 743,  Evening:+23, 743
 Day:+26, В 1м/с, 745,  Evening:+22, 745
 Day:+26, СЗ 1м/с, 746,  Evening:+24, 745
 Day:+30, СВ 2м/с, 743,  Evening:+22, 743
 Day:+19, ЮЗ 1м/с, 742,  Evening:+20, 743
 Day:+28, З 2м/с, 743,  Evening:+23, 743
 Day:+30, СЗ 3м/с, 746,  Evening:+25, 747
 Day:+29, СЗ 3м/с, 748,  Evening:+24, 749
 Day:+27, СВ 2м/с, 749,  Evening:+23, 749
 Day:+28, З 2м/с, 749,  Evening:+24, 749
 Day:+23, СВ 2м/с, 755,  Evening:+17, 756
 Day:+25, З 2м/с, 756,  Evening:+18, 755
 Day:+27, ЮЗ 2м/с, 753,  Evening:+20, 752
 Day:+19, Ш, 750,  Evening:+18, 749
 Day:+24, Ю 1м/с, 748,  Evening:+20, 747
 Day:+16, СВ 2м/с, 742,  Evening:+14, 739
 Day:+15, З 4м/с, 741,  Evening:+14, 742
 Day:+12, З 3м/с, 743,  Evening:+12, 743
 Day:+17, СЗ 2м/с, 744,  Evening:+16, 745
 Day:+26, СЗ 2м/с, 745,  Evening:+19, 745
 Day:+25, С 2м/с, 745,  Evening:+20, 745
 Day:+19, СЗ 2м/с, 746,  Evening:+14, 746
 Day:+21, З 2м/с, 748,  Evening:+16, 748
 Day:+26, З 2м/с, 749,  Evening:+19, 749
 Day:+28, З 2м/с, 749,  Evening:+22, 748
 Day:+25, В 1м/с, 747,  Evening:+23, 747
 Day:+23, СЗ 1м/с, 746,  Evening:+18, 746
 Day:+25, ЮЗ 2м/с, 746,  Evening:+20, 746
 Day:+23, СЗ 2м/с, 746,  Evening:+17, 746
 Day:+21, З 3м/с, 740,  Evening:+15, 740
 Day:+22, ЮЗ 3м/с, 740,  Evening:+18, 739
 Day:+28, З 2м/с, 737,  Evening:+23, 737
 Day:+24, С 2м/с, 743,  Evening:+20, 743
 Day:+23, СВ 3м/с, 743,  Evening:+19, 744
 Day:+27, СЗ 3м/с, 746,  Evening:+23, 746
 Day:+23, СЗ 3м/с, 749,  Evening:+19, 750
 Day:+26, З 3м/с, 749,  Evening:+23, 747
 Day:+19, С 2м/с, 749,  Evening:+15, 750
 Day:+17, С 1м/с, 750,  Evening:+16, 749
 Day:+8, СЗ 3м/с, 752,  Evening:+6, 754
 Day:+13, ЮЗ 2м/с, 753,  Evening:+9, 752
 Day:+17, З 2м/с, 749,  Evening:+13, 749
 Day:+19, ЮЗ 3м/с, 745,  Evening:+13, 746
 Day:+7, СЗ 3м/с, 750,  Evening:+4, 755
 Day:+11, СЗ 2м/с, 759,  Evening:+9, 761
 Day:+15, ЮЗ 1м/с, 761,  Evening:+8, 760
 Day:+18, ЮЗ 1м/с, 756,  Evening:+11, 755
 Day:+19, В 2м/с, 748,  Evening:+17, 745
 Day:+9, СЗ 2м/с, 737,  Evening:+8, 737
 Day:+12, Ю 3м/с, 745,  Evening:+7, 745
 Day:+10, СЗ 2м/с, 740,  Evening:+8, 741
 Day:+16, З 2м/с, 738,  Evening:+11, 741
 Day:+17, ЮЗ 2м/с, 742,  Evening:+15, 742
 Day:+16, ЮЗ 2м/с, 740,  Evening:+11, 739
 Day:+17, З 2м/с, 739,  Evening:+13, 740
 Day:+14, З 2м/с, 740,  Evening:+11, 740
 Day:+11, З 2м/с, 740,  Evening:+10, 743
 Day:+12, З 2м/с, 745,  Evening:+7, 746
 Day:+12, С 1м/с, 743,  Evening:+8, 743
 Day:+10, СЗ 4м/с, 743,  Evening:+7, 743
 Day:+14, З 2м/с, 737,  Evening:+11, 737
 Day:+13, ЮЗ 2м/с, 737,  Evening:+11, 740
 Day:+16, ЮЗ 3м/с, 742,  Evening:+13, 743
 Day:+11, З 2м/с, 746,  Evening:+7, 748
 Day:+16, ЮЗ 3м/с, 748,  Evening:+12, 747
 Day:+19, ЮЗ 2м/с, 740,  Evening:+13, 741
 Day:+19, Ю 1м/с, 743,  Evening:+15, 744
 Day:+19, ЮЗ 2м/с, 751,  Evening:+14, 752
 Day:+21, С 1м/с, 753,  Evening:+14, 754
 Day:+7, ЮЗ 1м/с, 748,  Evening:+4, 746
 Day:+9, Ю 1м/с, 743,  Evening:+5, 743
 Day:+11, ЮЗ 3м/с, 737,  Evening:+8, 737
 Day:+5, ЮЗ 4м/с, 735,  Evening:+2, 739
 Day:+4, ЮЗ 3м/с, 747,  Evening:+2, 749
 Day:+7, Ю 3м/с, 746,  Evening:+5, 745
 Day:+8, ЮЗ 2м/с, 749,  Evening:+7, 750
 Day:+16, ЮВ 2м/с, 749,  Evening:+11, 749
 Day:+8, В 2м/с, 746,  Evening:+7, 746
 Day:+11, В 1м/с, 749,  Evening:+8, 751
 Day:+16, В 2м/с, 749,  Evening:+12, 749
 Day:+14, СВ 2м/с, 747,  Evening:+12, 748
 Day:+15, В 3м/с, 746,  Evening:+11, 744
 Day:+11, ЮВ 2м/с, 743,  Evening:+7, 743
 Day:+5, З 2м/с, 743,  Evening:+3, 747
 Day:+11, З 1м/с, 752,  Evening:+7, 752
 Day:+16, Ю 1м/с, 751,  Evening:+13, 751
 Day:+18, ЮВ 1м/с, 752,  Evening:+12, 752
 Day:+21, Ю 1м/с, 752,  Evening:+18, 750
 Day:+17, СВ 1м/с, 749,  Evening:+11, 750
 Day:+9, СВ 2м/с, 751,  Evening:+10, 752
 Day:+15, СВ 3м/с, 750,  Evening:+10, 749
 Day:+13, В 2м/с, 749,  Evening:+8, 750
 Day:+14, ЮЗ 1м/с, 751,  Evening:+12, 751
 Day:+19, З 2м/с, 750,  Evening:+16, 750
 Day:+23, Ю 3м/с, 748,  Evening:+20, 747
 Day:+17, З 2м/с, 748,  Evening:+17, 746
 Day:+14, СЗ 2м/с, 751,  Evening:+8, 754
 Day:+10, СЗ 2м/с, 756,  Evening:+8, 757
 Day:+1, СЗ 1м/с, 758,  Evening:-6, 758
 Day:-5, В 1м/с, 758,  Evening:-5, 755
 Day:-5, В 1м/с, 750,  Evening:-6, 749
 Day:-2, СВ 2м/с, 742,  Evening:-2, 740
 Day:-2, СВ 3м/с, 730,  Evening:-4, 732
 Day:-9, СЗ 3м/с, 740,  Evening:-10, 743
 Day:-3, Ш, 744,  Evening:-9, 747
 Day:-7, В 2м/с, 749,  Evening:-8, 750
 Day:-7, СВ 2м/с, 752,  Evening:-8, 753
 Day:-6, СВ 2м/с, 756,  Evening:-10, 758
 Day:-7, СВ 3м/с, 755,  Evening:-10, 755
 Day:-7, СВ 2м/с, 754,  Evening:-10, 755
 Day:-5, З 1м/с, 755,  Evening:-9, 754
 Day:-8, В 1м/с, 752,  Evening:-10, 752
 Day:-6, В 4м/с, 756,  Evening:-9, 758
 Day:-8, В 4м/с, 760,  Evening:-8, 761
 Day:-3, С 2м/с, 764,  Evening:-6, 764
 Day:0, СВ 2м/с, 766,  Evening:-9, 767
 Day:+2, З 1м/с, 766,  Evening:-2, 764
 Day:+5, З 1м/с, 755,  Evening:+3, 753
 Day:0, С 2м/с, 749,  Evening:-1, 755
 Day:+5, СЗ 2м/с, 758,  Evening:-1, 757
 Day:+7, З 2м/с, 755,  Evening:+1, 755
 Day:+6, З 2м/с, 752,  Evening:0, 752
 Day:+7, З 1м/с, 751,  Evening:+3, 751
 Day:+5, Ю 2м/с, 743,  Evening:-2, 740
 Day:+1, ЮЗ 2м/с, 732,  Evening:0, 734
 Day:-3, СЗ 2м/с, 742,  Evening:-4, 743
 Day:+5, З 4м/с, 737,  Evening:+2, 741
 Day:+4, ЮЗ 2м/с, 743,  Evening:+3, 747
 Day:0, Ю 2м/с, 744,  Evening:-2, 745
 Day:-2, Ю 1м/с, 750,  Evening:0, 750
 Day:0, Ю 2м/с, 748,  Evening:0, 747
 Day:-2, В 2м/с, 742,  Evening:-4, 741
 Day:-4, Ш, 741,  Evening:-4, 742
 Day:-3, З 1м/с, 743,  Evening:-4, 744
 Day:-5, З 1м/с, 747,  Evening:-7, 749
 Day:-5, Ю 1м/с, 751,  Evening:-5, 751
 Day:-2, ЮВ 2м/с, 751,  Evening:-4, 752
 Day:-6, В 3м/с, 746,  Evening:-6, 745
 Day:-1, З 2м/с, 746,  Evening:-1, 746
 Day:+1, З 1м/с, 748,  Evening:-4, 749
 Day:-4, ЮЗ 3м/с, 749,  Evening:-4, 750
 Day:-2, Ю 1м/с, 755,  Evening:-6, 753
 Day:-4, ЮЗ 2м/с, 754,  Evening:-8, 755
 Day:-7, З 1м/с, 757,  Evening:-12, 757
 Day:-11, В 2м/с, 753,  Evening:-12, 752
 Day:-5, В 3м/с, 749,  Evening:-7, 749
 Day:-5, ЮВ 2м/с, 749,  Evening:-4, 748
 Day:+1, ЮЗ 3м/с, 740,  Evening:+1, 740
 Day:+1, З 2м/с, 744,  Evening:-2, 746
 Day:0, Ю 1м/с, 747,  Evening:+2, 747
 Day:+1, ЮЗ 3м/с, 746,  Evening:0, 747
 Day:+1, ЮЗ 1м/с, 755,  Evening:0, 756
 Day:-2, В 2м/с, 760,  Evening:-5, 759
 Day:-1, В 2м/с, 755,  Evening:0, 755
 Day:+1, В 3м/с, 755,  Evening:0, 758
 Day:-4, Ю 1м/с, 743,  Evening:-3, 740
 Day:-3, З 2м/с, 734,  Evening:-8, 739
 Day:-11, З 2м/с, 740,  Evening:-16, 740
 Day:-15, В 2м/с, 741,  Evening:-14, 743
 Day:-16, З 1м/с, 749,  Evening:-19, 748
 Day:-7, В 2м/с, 741,  Evening:0, 737
 Day:0, ЮЗ 2м/с, 739,  Evening:0, 740
 Day:-8, З 2м/с, 753,  Evening:-11, 758
 Day:-11, В 2м/с, 762,  Evening:-15, 761
 Day:-12, В 2м/с, 755,  Evening:-12, 754
 Day:-8, В 1м/с, 752,  Evening:-8, 753
 Day:-7, В 2м/с, 755,  Evening:-8, 755
 Day:-9, В 3м/с, 749,  Evening:-8, 744
 Day:-15, Ю 2м/с, 728,  Evening:-10, 722
 Day:-10, СЗ 3м/с, 719,  Evening:-13, 726
 Day:-6, З 2м/с, 736,  Evening:-6, 740
 Day:-6, ЮЗ 2м/с, 743,  Evening:-7, 742
 Day:-2, Ю 2м/с, 744,  Evening:-2, 747
 Day:-5, ЮВ 2м/с, 749,  Evening:-6, 751
 Day:-9, В 1м/с, 752,  Evening:-11, 752
 Day:-11, В 1м/с, 752,  Evening:-13, 753
 Day:-7, В 3м/с, 754,  Evening:-7, 755
 Day:-10, В 3м/с, 761,  Evening:-10, 761
 Day:-11, В 2м/с, 763,  Evening:-13, 763
 Day:-14, В 2м/с, 758,  Evening:-16, 755
 Day:-11, ЮЗ 1м/с, 750,  Evening:-12, 751
 Day:-8, Ш, 753,  Evening:-7, 753
 Day:-7, В 2м/с, 751,  Evening:-8, 749
 Day:-12, В 1м/с, 747,  Evening:-13, 746
 Day:-2, В 1м/с, 740,  Evening:-4, 742
 Day:+2, В 1м/с, 729,  Evening:0, 732
 Day:-1, ЮЗ 2м/с, 741,  Evening:-2, 743
 Day:+2, ЮЗ 2м/с, 746,  Evening:+3, 749
 Day:+4, Ю 2м/с, 744,  Evening:+1, 746
 Day:-2, Ш, 750,  Evening:-3, 751
 Day:-4, СВ 1м/с, 757,  Evening:-4, 759
 Day:-10, В 3м/с, 762,  Evening:-12, 762
 Day:0, В 1м/с, 758,  Evening:0, 758
 Day:-2, В 3м/с, 754,  Evening:-2, 754
 Day:-2, С 2м/с, 755,  Evening:-3, 758
 Day:-7, СВ 1м/с, 762,  Evening:-8, 764
 Day:-4, В 1м/с, 769,  Evening:-6, 769
 Day:-7, В 2м/с, 767,  Evening:-7, 767
 Day:-4, Ю 2м/с, 761,  Evening:-4, 761
 Day:-5, Ю 1м/с, 757,  Evening:-4, 755
 Day:-3, ЮЗ 1м/с, 749,  Evening:-2, 747
 Day:-2, ЮЗ 1м/с, 746,  Evening:-2, 747
 Day:-2, В 1м/с, 743,  Evening:-3, 740
 Day:-3, ЮЗ 2м/с, 737,  Evening:-4, 736
 Day:0, ЮЗ 1м/с, 734,  Evening:0, 737
 Day:-2, З 1м/с, 739,  Evening:-6, 740
 Day:-13, В 1м/с, 743,  Evening:-15, 743
 Day:-19, З 1м/с, 748,  Evening:-21, 750
 Day:-21, ЮЗ 1м/с, 755,  Evening:-22, 755
 Day:-13, В 4м/с, 751,  Evening:-6, 745
 Day:-7, Ш, 745,  Evening:-14, 746
 Day:-11, З 2м/с, 750,  Evening:-14, 752
 Day:-15, Ш, 757,  Evening:-18, 758
 Day:-20, ЮВ 1м/с, 762,  Evening:-20, 762
 Day:-12, В 2м/с, 757,  Evening:-11, 756
 Day:+10, З 2м/с, 755,  Evening:+7, 754
 Day:+6, В 2м/с, 758,  Evening:+6, 759
 Day:+2, В 2м/с, 764,  Evening:-1, 765
 Day:+1, В 2м/с, 767,  Evening:+2, 766
 Day:+2, ЮВ 1м/с, 765,  Evening:+2, 764
 Day:+6, Ю 2м/с, 756,  Evening:+5, 753
 Day:+6, ЮЗ 3м/с, 747,  Evening:+4, 751
 Day:+5, ЮВ 2м/с, 750,  Evening:+6, 747
 Day:+8, З 2м/с, 744,  Evening:+4, 746
 Day:-3, СЗ 2м/с, 757,  Evening:-4, 760
 Day:-1, ЮЗ 2м/с, 757,  Evening:-1, 752
 Day:0, Ю 2м/с, 747,  Evening:-1, 743
 Day:-1, СЗ 2м/с, 745,  Evening:0, 750
 Day:0, СЗ 2м/с, 757,  Evening:-4, 757
 Day:-5, СВ 1м/с, 755,  Evening:-9, 759
 Day:-5, ЮЗ 3м/с, 756,  Evening:-3, 752
 Day:0, Ш, 753,  Evening:-1, 755
 Day:0, ЮЗ 1м/с, 758,  Evening:-2, 755
 Day:-3, ЮВ 2м/с, 751,  Evening:-1, 747
 Day:0, Ю 2м/с, 734,  Evening:0, 728
 Day:+1, З 2м/с, 731,  Evening:+1, 734
 Day:+1, ЮЗ 2м/с, 737,  Evening:-1, 741
 Day:-4, З 2м/с, 748,  Evening:-7, 749
 Day:-7, ЮЗ 1м/с, 752,  Evening:-10, 751
 Day:-1, ЮЗ 3м/с, 747,  Evening:-1, 751
 Day:+1, ЮЗ 2м/с, 754,  Evening:-1, 755
 Day:-1, ЮВ 1м/с, 756,  Evening:-5, 755
 Day:-1, ЮВ 2м/с, 750,  Evening:-1, 751
 Day:+1, В 2м/с, 751,  Evening:0, 749
 Day:+13, З 2м/с, 761,  Evening:+10, 761
 Day:+11, С 1м/с, 761,  Evening:+8, 761
 Day:+10, С 1м/с, 761,  Evening:+9, 762
 Day:+11, СВ 2м/с, 764,  Evening:+6, 766
 Day:+9, Ю 1м/с, 770,  Evening:+6, 770
 Day:+9, С 1м/с, 770,  Evening:+7, 769
 Day:+10, З 2м/с, 770,  Evening:+3, 770
 Day:+13, З 2м/с, 767,  Evening:+4, 765
 Day:+14, С 2м/с, 761,  Evening:+6, 761
 Day:+14, СЗ 1м/с, 760,  Evening:+5, 760
 Day:+12, З 1м/с, 759,  Evening:+4, 758
 Day:+14, В 1м/с, 758,  Evening:+10, 758
 Day:+16, ЮВ 2м/с, 758,  Evening:+9, 759
 Day:+14, ЮВ 2м/с, 757,  Evening:+11, 755
 Day:+10, З 3м/с, 754,  Evening:+7, 755
 Day:+11, З 2м/с, 755,  Evening:+6, 755
 Day:+11, Ш, 752,  Evening:+9, 750
 Day:+9, В 2м/с, 745,  Evening:+9, 743
 Day:+7, СЗ 1м/с, 746,  Evening:+5, 746
 Day:+4, СЗ 3м/с, 749,  Evening:+3, 752
 Day:+3, ЮЗ 3м/с, 744,  Evening:, 
 Day:+9, З 2м/с, 748,  Evening:+6, 749
 Day:+4, СЗ 2м/с, 752,  Evening:+1, 756
 Day:+3, ЮЗ 3м/с, 757,  Evening:+2, 757
 Day:+8, ЮЗ 2м/с, 753,  Evening:+5, 752
 Day:+8, ЮЗ 2м/с, 749,  Evening:+4, 749
 Day:+2, СЗ 1м/с, 758,  Evening:+1, 759
 Day:+7, З 2м/с, 757,  Evening:+7, 758
 Day:+30, ЮЗ 3м/с, 744,  Evening:+24, 742
 Day:+17, Ю 1м/с, 741,  Evening:+16, 739
 Day:+16, З 1м/с, 734,  Evening:+13, 735
 Day:+14, З 3м/с, 740,  Evening:+11, 743
 Day:+15, ЮЗ 3м/с, 749,  Evening:+11, 751
 Day:+13, С 1м/с, 752,  Evening:+8, 754
 Day:+15, З 3м/с, 755,  Evening:+11, 755
 Day:+17, З 3м/с, 752,  Evening:+13, 752
 Day:+16, З 4м/с, 746,  Evening:+17, 746
 Day:+16, З 1м/с, 745,  Evening:+11, 748
 Day:+16, С 2м/с, 752,  Evening:+8, 753
 Day:+21, ЮЗ 2м/с, 750,  Evening:+16, 749
 Day:+24, З 2м/с, 747,  Evening:+20, 746
 Day:+25, З 3м/с, 743,  Evening:+17, 743
 Day:+17, З 4м/с, 743,  Evening:+11, 744
 Day:+13, З 3м/с, 746,  Evening:+9, 747
 Day:+9, З 2м/с, 749,  Evening:+8, 749
 Day:+11, СЗ 3м/с, 752,  Evening:+7, 755
 Day:+12, С 1м/с, 756,  Evening:+7, 756
 Day:+13, В 2м/с, 756,  Evening:+10, 756
 Day:+11, В 4м/с, 752,  Evening:+11, 751
 Day:+10, В 2м/с, 752,  Evening:+9, 752
 Day:+9, В 3м/с, 753,  Evening:+10, 751
 Day:+8, В 2м/с, 749,  Evening:+9, 746
 Day:+14, С 1м/с, 744,  Evening:+9, 745
 Day:+15, В 1м/с, 743,  Evening:+12, 741
 Day:+12, В 3м/с, 744,  Evening:+9, 748
 Day:+10, СВ 4м/с, 754,  Evening:+6, 756
 Day:+9, СВ 3м/с, 758,  Evening:+8, 759
 Day:+32, ЮЗ 3м/с, 748,  Evening:+23, 748
 Day:+34, ЮЗ 2м/с, 748,  Evening:+27, 748
 Day:+37, ЮЗ 2м/с, 746,  Evening:+27, 746
 Day:+34, З 2м/с, 745,  Evening:+25, 746
 Day:+27, СЗ 2м/с, 749,  Evening:+22, 749
 Day:+28, З 2м/с, 749,  Evening:+23, 750
 Day:+30, В 1м/с, 750,  Evening:+25, 751
 Day:, Ш, ,  Evening:+28, 753
 Day:+30, З 2м/с, 753,  Evening:+27, 752
 Day:+32, СЗ 2м/с, 751,  Evening:+27, 751
 Day:+30, СВ 3м/с, 750,  Evening:+24, 751
 Day:+32, ЮВ 2м/с, 752,  Evening:+26, 752
 Day:+32, Ю 2м/с, 752,  Evening:+27, 752
 Day:+32, Ю 2м/с, 751,  Evening:+23, 751
 Day:+28, В 2м/с, 752,  Evening:+25, 751
 Day:+35, ЮЗ 2м/с, 750,  Evening:+25, 751
 Day:+34, З 2м/с, 751,  Evening:+30, 750
 Day:+34, З 2м/с, 749,  Evening:+25, 749
 Day:+38, СЗ 2м/с, 749,  Evening:+32, 749
 Day:+39, ЮВ 1м/с, 749,  Evening:+31, 749
 Day:+38, Ю 2м/с, 749,  Evening:+32, 749
 Day:+35, ЮЗ 3м/с, 747,  Evening:+28, 749
 Day:+29, СЗ 2м/с, 750,  Evening:+21, 750
 Day:+35, В 1м/с, 746,  Evening:+29, 746
 Day:+26, СЗ 4м/с, 747,  Evening:+21, 749
 Day:+26, С 2м/с, 750,  Evening:+20, 752
 Day:+25, С 2м/с, 752,  Evening:+19, 752
 Day:+23, СВ 2м/с, 751,  Evening:+19, 752
 Day:+22, СЗ 2м/с, 752,  Evening:+17, 752
 Day:+24, З 2м/с, 753,  Evening:+16, 753
 Day:+28, З 2м/с, 744,  Evening:+22, 744
 Day:+26, ЮЗ 1м/с, 743,  Evening:+22, 743
 Day:+29, СЗ 1м/с, 743,  Evening:+24, 743
 Day:+27, С 2м/с, 743,  Evening:+22, 744
 Day:+22, СВ 2м/с, 746,  Evening:+21, 747
 Day:+26, В 2м/с, 747,  Evening:+23, 749
 Day:+27, СВ 3м/с, 752,  Evening:+23, 752
 Day:+29, С 2м/с, 750,  Evening:+26, 750
 Day:+32, С 2м/с, 749,  Evening:+27, 749
 Day:+33, СЗ 2м/с, 746,  Evening:+23, 746
 Day:+27, С 2м/с, 746,  Evening:+22, 748
 Day:+26, С 3м/с, 749,  Evening:+23, 750
 Day:+30, СЗ 2м/с, 748,  Evening:+23, 748
 Day:+30, С 1м/с, 748,  Evening:+25, 748
 Day:+30, В 1м/с, 744,  Evening:+21, 744
 Day:+32, ЮЗ 1м/с, 743,  Evening:+27, 744
 Day:+33, З 2м/с, 743,  Evening:+28, 743
 Day:+34, З 2м/с, 743,  Evening:+26, 743
 Day:+25, З 5м/с, 742,  Evening:+22, 742
 Day:+30, З 2м/с, 742,  Evening:+26, 741
 Day:+21, СЗ 3м/с, 739,  Evening:+19, 740
 Day:+24, С 1м/с, 741,  Evening:+20, 742
 Day:+26, СЗ 3м/с, 744,  Evening:+21, 747
 Day:+23, СЗ 2м/с, 753,  Evening:+20, 754
 Day:+24, З 2м/с, 755,  Evening:+18, 754
 Day:+27, З 3м/с, 750,  Evening:+23, 749
 Day:+26, СЗ 2м/с, 749,  Evening:+22, 749
 Day:+23, В 1м/с, 746,  Evening:+23, 744
 Day:+29, З 3м/с, 743,  Evening:+24, 744
 Day:+23, СЗ 2м/с, 746,  Evening:+20, 746
 Day:+21, С 2м/с, 747,  Evening:+15, 748
 Day:+19, СВ 2м/с, 746,  Evening:+19, 747
 Day:+13, В 4м/с, 750,  Evening:+12, 752
 Day:+22, В 3м/с, 752,  Evening:+17, 752
 Day:+25, В 2м/с, 748,  Evening:+21, 748
 Day:+26, В 2м/с, 746,  Evening:+17, 746
 Day:+28, С 1м/с, 745,  Evening:+18, 745
 Day:+28, СЗ 1м/с, 744,  Evening:+22, 745
 Day:+22, СВ 2м/с, 746,  Evening:+17, 748
 Day:+25, В 2м/с, 747,  Evening:+17, 748
 Day:+21, З 2м/с, 747,  Evening:+20, 747
 Day:+27, ЮВ 1м/с, 748,  Evening:+22, 749
 Day:+29, СВ 2м/с, 749,  Evening:+20, 749
 Day:+29, В 2м/с, 747,  Evening:+25, 746
 Day:+29, ЮЗ 3м/с, 744,  Evening:+25, 745
 Day:+25, СЗ 2м/с, 749,  Evening:+18, 752
 Day:+22, С 3м/с, 755,  Evening:+18, 757
 Day:+25, ЮЗ 3м/с, 756,  Evening:+22, 755
 Day:+31, СЗ 2м/с, 753,  Evening:+23, 753
 Day:+32, З 2м/с, 754,  Evening:+23, 754
 Day:+33, ЮЗ 2м/с, 754,  Evening:+25, 753
 Day:+34, СЗ 2м/с, 752,  Evening:+26, 752
 Day:+26, СЗ 1м/с, 752,  Evening:+24, 751
 Day:+34, ЮЗ 1м/с, 749,  Evening:+21, 749
 Day:+35, СЗ 2м/с, 746,  Evening:+27, 747
 Day:+33, З 1м/с, 747,  Evening:+29, 747
 Day:+34, З 2м/с, 747,  Evening:+31, 746
 Day:+36, В 3м/с, 743,  Evening:+30, 742
 Day:+16, Ю 2м/с, 749,  Evening:+16, 747
 Day:+18, З 2м/с, 751,  Evening:+14, 752
 Day:+24, Ю 2м/с, 749,  Evening:+20, 747
 Day:+26, ЮЗ 3м/с, 740,  Evening:+16, 740
 Day:+11, З 3м/с, 745,  Evening:+11, 747
 Day:+21, З 3м/с, 751,  Evening:+17, 750
