2019-12-01, Day:-2, В 2м/с, 742,  Evening:-2, 743
2019-11-05, Day:+6, Ю 3м/с, 752,  Evening:+5, 751
2019-11-06, Day:+7, ЮЗ 2м/с, 749,  Evening:+8, 748
2019-11-07, Day:+14, ЮЗ 3м/с, 745,  Evening:+11, 748
2019-11-08, Day:+4, СВ 2м/с, 752,  Evening:+2, 752
2019-11-09, Day:-1, С 1м/с, 763,  Evening:-1, 764
2019-11-10, Day:0, Ю 1м/с, 763,  Evening:0, 762
2019-11-11, Day:0, ЮВ 1м/с, 758,  Evening:-1, 756
2019-11-12, Day:+3, ЮЗ 2м/с, 754,  Evening:+4, 754
2019-11-13, Day:+4, СЗ 3м/с, 759,  Evening:+4, 761
2019-11-14, Day:0, СВ 1м/с, 766,  Evening:+1, 767
2019-11-15, Day:+1, ЮЗ 2м/с, 768,  Evening:0, 767
2019-11-16, Day:+4, З 1м/с, 767,  Evening:+1, 766
2019-11-17, Day:0, З 2м/с, 763,  Evening:+1, 762
2019-11-18, Day:+2, З 3м/с, 758,  Evening:+3, 757
2019-11-19, Day:0, СВ 3м/с, 761,  Evening:-8, 764
2019-11-20, Day:-10, СВ 2м/с, 772,  Evening:-14, 774
2019-11-21, Day:-9, С 1м/с, 775,  Evening:-11, 773
2019-11-22, Day:-4, СЗ 1м/с, 770,  Evening:-7, 769
2019-11-23, Day:-3, СЗ 1м/с, 767,  Evening:-5, 766
2019-11-24, Day:-4, С 1м/с, 765,  Evening:-8, 765
2019-11-25, Day:-6, З 1м/с, 764,  Evening:-10, 764
2019-11-26, Day:-5, З 1м/с, 761,  Evening:-8, 761
2019-11-27, Day:-7, Ю 1м/с, 760,  Evening:-8, 759
2019-11-28, Day:-4, В 3м/с, 758,  Evening:-6, 758
2019-11-29, Day:-5, В 2м/с, 757,  Evening:-3, 755
2019-10-01, Day:+14, ЮВ 2м/с, 748,  Evening:+14, 746
2019-10-02, Day:+15, З 2м/с, 749,  Evening:+14, 751
2019-10-03, Day:+18, ЮЗ 2м/с, 753,  Evening:+14, 753
2019-10-04, Day:+21, ЮВ 1м/с, 752,  Evening:+19, 750
2019-10-05, Day:+22, Ю 2м/с, 747,  Evening:+18, 748
2019-10-06, Day:+21, ЮВ 2м/с, 745,  Evening:+15, 745
2019-10-07, Day:+21, ЮВ 3м/с, 740,  Evening:+7, 746
2019-10-08, Day:+6, ЮЗ 1м/с, 755,  Evening:+5, 753
2019-10-09, Day:+5, СЗ 2м/с, 751,  Evening:+3, 752
2019-10-10, Day:+10, З 2м/с, 752,  Evening:+9, 752
2019-10-11, Day:+12, ЮЗ 2м/с, 749,  Evening:+11, 749
2019-10-12, Day:+13, СЗ 1м/с, 751,  Evening:+9, 751
2019-10-13, Day:+10, З 3м/с, 744,  Evening:+10, 745
2019-10-14, Day:+13, З 4м/с, 749,  Evening:+10, 750
2019-10-15, Day:+15, СЗ 3м/с, 746,  Evening:+10, 749
2019-10-16, Day:+6, С 2м/с, 758,  Evening:+3, 760
2019-10-17, Day:+11, ЮЗ 4м/с, 757,  Evening:+9, 755
2019-10-18, Day:+14, З 3м/с, 749,  Evening:+12, 749
2019-10-19, Day:+6, СВ 2м/с, 755,  Evening:+4, 757
2019-10-20, Day:+5, З 1м/с, 760,  Evening:+5, 760
2019-10-21, Day:+11, ЮЗ 2м/с, 758,  Evening:+11, 755
2019-10-22, Day:+12, З 1м/с, 753,  Evening:+10, 754
2019-10-23, Day:+11, ЮЗ 2м/с, 751,  Evening:+11, 749
2019-10-24, Day:+13, З 1м/с, 753,  Evening:+11, 754
2019-10-25, Day:+13, З 1м/с, 755,  Evening:+6, 756
2019-10-26, Day:+16, ЮЗ 3м/с, 752,  Evening:+13, 749
2019-10-27, Day:+10, ЮЗ 3м/с, 743,  Evening:+11, 742
2019-10-28, Day:+11, З 3м/с, 740,  Evening:+8, 744
2019-10-29, Day:+7, С 2м/с, 749,  Evening:+3, 749
2019-10-30, Day:+3, В 2м/с, 744,  Evening:+1, 742
2019-09-01, Day:+16, З 1м/с, 749,  Evening:+8, 749
2019-09-02, Day:+19, З 3м/с, 748,  Evening:+14, 749
2019-09-03, Day:+18, СЗ 2м/с, 749,  Evening:+14, 749
2019-09-04, Day:+18, СВ 2м/с, 750,  Evening:+15, 751
2019-09-05, Day:+20, СЗ 2м/с, 752,  Evening:+11, 753
2019-09-06, Day:+20, СВ 2м/с, 754,  Evening:+16, 754
2019-09-07, Day:+21, С 1м/с, 755,  Evening:+17, 756
2019-09-08, Day:+20, С 2м/с, 758,  Evening:+16, 759
2019-09-09, Day:+23, СЗ 3м/с, 758,  Evening:+18, 758
2019-09-10, Day:+23, С 3м/с, 759,  Evening:+18, 760
2019-09-11, Day:+23, В 1м/с, 762,  Evening:+14, 762
2019-09-12, Day:+24, З 2м/с, 760,  Evening:+12, 759
2019-09-13, Day:+25, З 2м/с, 755,  Evening:+15, 754
2019-09-14, Day:+26, З 3м/с, 749,  Evening:+22, 748
2019-09-15, Day:+16, З 1м/с, 747,  Evening:+11, 747
2019-09-16, Day:+11, Ю 2м/с, 743,  Evening:+16, 740
2019-09-17, Day:+19, З 3м/с, 739,  Evening:+16, 739
2019-09-18, Day:+17, ЮЗ 2м/с, 740,  Evening:+13, 738
2019-09-19, Day:+14, З 5м/с, 742,  Evening:+9, 746
2019-09-20, Day:+13, ЮЗ 2м/с, 748,  Evening:+9, 748
2019-09-21, Day:+11, СЗ 1м/с, 744,  Evening:+6, 743
2019-09-22, Day:+9, ЮЗ 2м/с, 738,  Evening:+5, 733
2019-09-23, Day:+6, З 3м/с, 742,  Evening:+4, 746
2019-09-24, Day:+8, З 3м/с, 749,  Evening:+5, 751
2019-09-25, Day:+8, З 1м/с, 752,  Evening:+6, 752
2019-09-26, Day:+10, З 3м/с, 751,  Evening:+9, 750
2019-09-27, Day:+11, ЮЗ 4м/с, 749,  Evening:+8, 747
2019-09-28, Day:+10, С 2м/с, 749,  Evening:+5, 752
2019-09-29, Day:+8, З 2м/с, 753,  Evening:+5, 753
2019-08-01, Day:+14, З 3м/с, 734,  Evening:+13, 737
2019-08-02, Day:+18, З 5м/с, 737,  Evening:+15, 738
2019-08-03, Day:+18, ЮЗ 3м/с, 739,  Evening:+15, 740
2019-08-04, Day:+22, З 3м/с, 740,  Evening:+20, 740
2019-08-05, Day:+17, В 2м/с, 728,  Evening:+13, 731
2019-08-06, Day:+15, З 4м/с, 742,  Evening:+14, 744
2019-08-07, Day:+21, З 3м/с, 747,  Evening:+14, 748
2019-08-08, Day:+23, З 2м/с, 747,  Evening:+20, 748
2019-08-09, Day:+27, З 2м/с, 743,  Evening:+25, 743
2019-08-10, Day:+26, З 1м/с, 740,  Evening:+18, 741
2019-08-11, Day:+20, З 2м/с, 740,  Evening:+16, 740
2019-08-12, Day:+15, СЗ 4м/с, 744,  Evening:+13, 746
2019-08-13, Day:+18, СЗ 4м/с, 746,  Evening:+16, 748
2019-08-14, Day:+22, СЗ 2м/с, 748,  Evening:+19, 749
2019-08-15, Day:+25, З 2м/с, 750,  Evening:+21, 750
2019-08-16, Day:+30, СЗ 2м/с, 749,  Evening:+25, 749
2019-08-17, Day:+32, Ю 2м/с, 749,  Evening:+26, 749
2019-08-18, Day:+28, ЮЗ 2м/с, 752,  Evening:+25, 752
2019-08-19, Day:+35, ЮЗ 3м/с, 752,  Evening:+30, 752
2019-08-20, Day:+31, С 1м/с, 752,  Evening:+24, 752
2019-08-21, Day:+27, С 3м/с, 753,  Evening:+22, 754
2019-08-22, Day:+27, С 1м/с, 753,  Evening:+23, 753
2019-08-23, Day:+27, СЗ 3м/с, 754,  Evening:+20, 755
2019-08-24, Day:+25, СВ 1м/с, 755,  Evening:+16, 754
2019-08-25, Day:+24, СЗ 3м/с, 750,  Evening:+17, 753
2019-08-26, Day:+20, СЗ 2м/с, 756,  Evening:+13, 755
2019-08-27, Day:+18, З 3м/с, 747,  Evening:+14, 746
2019-08-28, Day:+12, СЗ 2м/с, 746,  Evening:+10, 749
2019-08-29, Day:+15, СЗ 2м/с, 751,  Evening:+12, 750
2019-08-30, Day:+15, С 2м/с, 751,  Evening:+11, 752
2019-07-01, Day:+23, СЗ 3м/с, 742,  Evening:+19, 742
2019-07-02, Day:+25, З 3м/с, 738,  Evening:+19, 737
2019-07-03, Day:+26, ЮЗ 2м/с, 741,  Evening:+19, 742
2019-07-04, Day:+25, З 4м/с, 743,  Evening:+20, 743
2019-07-05, Day:+22, З 3м/с, 744,  Evening:+17, 744
2019-07-06, Day:+26, З 2м/с, 743,  Evening:+23, 741
2019-07-07, Day:+23, ЮЗ 3м/с, 741,  Evening:+20, 742
2019-07-08, Day:+24, З 3м/с, 743,  Evening:+21, 743
2019-07-09, Day:+27, Ю 2м/с, 740,  Evening:+23, 740
2019-07-10, Day:+25, З 3м/с, 740,  Evening:+21, 740
2019-07-11, Day:+25, ЮЗ 2м/с, 743,  Evening:+23, 743
2019-07-12, Day:+19, СВ 1м/с, 743,  Evening:+17, 742
2019-07-13, Day:+22, С 2м/с, 743,  Evening:+19, 743
2019-07-14, Day:+25, С 2м/с, 744,  Evening:+20, 743
2019-07-15, Day:+22, З 2м/с, 743,  Evening:+19, 745
2019-07-16, Day:+26, З 2м/с, 747,  Evening:+23, 748
2019-07-17, Day:+22, В 2м/с, 746,  Evening:+20, 744
2019-07-18, Day:+29, З 3м/с, 742,  Evening:+23, 743
2019-07-19, Day:+28, СЗ 1м/с, 746,  Evening:+20, 746
2019-07-20, Day:+27, З 2м/с, 748,  Evening:+20, 749
2019-07-21, Day:+28, З 3м/с, 749,  Evening:+22, 748
2019-07-22, Day:+20, Ш, 746,  Evening:+19, 747
2019-07-23, Day:+24, С 2м/с, 749,  Evening:+21, 749
2019-07-24, Day:+27, С 2м/с, 749,  Evening:+23, 750
2019-07-25, Day:+29, В 3м/с, 749,  Evening:+25, 749
2019-07-26, Day:+30, СВ 3м/с, 747,  Evening:+26, 746
2019-07-27, Day:+26, В 3м/с, 740,  Evening:+22, 739
2019-07-28, Day:+24, СЗ 4м/с, 734,  Evening:+18, 736
2019-07-29, Day:, Ш, ,  Evening:+14, 740
2019-07-30, Day:+19, З 3м/с, 740,  Evening:+12, 740
2019-06-01, Day:+29, ЮЗ 3м/с, 747,  Evening:+21, 748
2019-06-02, Day:+26, СЗ 2м/с, 751,  Evening:+22, 750
2019-06-03, Day:+27, ЮЗ 3м/с, 746,  Evening:+21, 747
2019-06-04, Day:+20, СЗ 3м/с, 753,  Evening:+16, 754
2019-06-05, Day:+24, СЗ 2м/с, 755,  Evening:+21, 754
2019-06-06, Day:+27, З 3м/с, 752,  Evening:+23, 751
2019-06-07, Day:+24, С 2м/с, 754,  Evening:+19, 754
2019-06-08, Day:+25, С 3м/с, 753,  Evening:+19, 755
2019-06-09, Day:+25, СЗ 2м/с, 756,  Evening:+21, 755
2019-06-10, Day:+28, З 2м/с, 754,  Evening:+20, 753
2019-06-11, Day:+32, З 2м/с, 751,  Evening:+25, 751
2019-06-12, Day:+28, СЗ 3м/с, 749,  Evening:+24, 748
2019-06-13, Day:+18, С 2м/с, 752,  Evening:+14, 753
2019-06-14, Day:+20, СЗ 2м/с, 751,  Evening:+12, 749
2019-06-15, Day:+20, З 2м/с, 748,  Evening:+15, 747
2019-06-16, Day:+21, З 2м/с, 746,  Evening:+14, 746
2019-06-17, Day:+24, СЗ 2м/с, 746,  Evening:+17, 746
2019-06-18, Day:+26, СЗ 2м/с, 746,  Evening:+21, 746
2019-06-19, Day:+22, СВ 3м/с, 746,  Evening:+18, 746
2019-06-20, Day:+29, СЗ 2м/с, 748,  Evening:+22, 749
2019-06-21, Day:+30, СЗ 2м/с, 751,  Evening:+25, 752
2019-06-22, Day:+31, З 2м/с, 752,  Evening:+26, 752
2019-06-23, Day:+33, З 2м/с, 750,  Evening:+23, 749
2019-06-24, Day:+24, С 2м/с, 749,  Evening:+23, 750
2019-06-25, Day:+25, СЗ 2м/с, 752,  Evening:+21, 752
2019-06-26, Day:+22, С 2м/с, 752,  Evening:+17, 751
2019-06-27, Day:+16, В 2м/с, 745,  Evening:+15, 743
2019-06-28, Day:+27, В 2м/с, 737,  Evening:+23, 737
2019-06-29, Day:+26, З 3м/с, 738,  Evening:+21, 740
2019-05-01, Day:+13, З 2м/с, 752,  Evening:+10, 752
2019-05-02, Day:+12, ЮВ 3м/с, 746,  Evening:+12, 744
2019-05-03, Day:+17, ЮВ 3м/с, 743,  Evening:+11, 743
2019-05-04, Day:+20, З 2м/с, 749,  Evening:+14, 751
2019-05-05, Day:+18, ЮВ 2м/с, 753,  Evening:+13, 752
2019-05-06, Day:+24, ЮВ 1м/с, 747,  Evening:+20, 746
2019-05-07, Day:+19, З 2м/с, 746,  Evening:+18, 746
2019-05-08, Day:+25, З 2м/с, 749,  Evening:+17, 749
2019-05-09, Day:+28, В 2м/с, 749,  Evening:+24, 749
2019-05-10, Day:+30, В 3м/с, 749,  Evening:+25, 749
2019-05-11, Day:+32, В 2м/с, 750,  Evening:+26, 751
2019-05-12, Day:+32, СВ 1м/с, 752,  Evening:+24, 752
2019-05-13, Day:+32, СЗ 1м/с, 750,  Evening:+19, 750
2019-05-14, Day:+30, З 2м/с, 747,  Evening:+19, 747
2019-05-15, Day:+26, В 1м/с, 749,  Evening:+24, 749
2019-05-16, Day:+22, В 3м/с, 747,  Evening:+17, 748
2019-05-17, Day:+15, СЗ 3м/с, 751,  Evening:+10, 751
2019-05-18, Day:+17, З 3м/с, 745,  Evening:+12, 746
2019-05-19, Day:+13, С 2м/с, 746,  Evening:+8, 749
2019-05-20, Day:+11, С 2м/с, 750,  Evening:+7, 751
2019-05-21, Day:+16, З 3м/с, 752,  Evening:+10, 752
2019-05-22, Day:+14, В 3м/с, 749,  Evening:+13, 747
2019-05-23, Day:+24, ЮЗ 4м/с, 743,  Evening:+19, 741
2019-05-24, Day:+13, С 2м/с, 746,  Evening:+9, 749
2019-05-25, Day:+15, З 1м/с, 752,  Evening:+12, 751
2019-05-26, Day:+22, ЮВ 2м/с, 748,  Evening:+20, 746
2019-05-27, Day:+25, З 4м/с, 745,  Evening:+17, 747
2019-05-28, Day:+25, С 3м/с, 750,  Evening:+19, 752
2019-05-29, Day:+28, СЗ 3м/с, 753,  Evening:+19, 753
2019-05-30, Day:+30, ЮЗ 2м/с, 753,  Evening:+21, 752
2019-04-01, Day:+8, З 3м/с, 748,  Evening:+6, 749
2019-04-02, Day:+6, СВ 2м/с, 751,  Evening:+3, 750
2019-04-03, Day:+2, СВ 3м/с, 746,  Evening:+2, 747
2019-04-04, Day:+5, СВ 2м/с, 752,  Evening:+4, 752
2019-04-05, Day:+6, З 2м/с, 757,  Evening:+3, 758
2019-04-06, Day:+7, В 2м/с, 760,  Evening:+6, 758
2019-04-07, Day:+6, В 2м/с, 756,  Evening:+6, 755
2019-04-08, Day:+8, С 1м/с, 754,  Evening:+7, 753
2019-04-09, Day:+14, ЮВ 1м/с, 752,  Evening:+11, 752
2019-04-10, Day:+18, Ю 1м/с, 753,  Evening:+15, 753
2019-04-11, Day:+19, ЮВ 2м/с, 753,  Evening:+15, 752
2019-04-12, Day:+20, ЮВ 1м/с, 749,  Evening:+16, 749
2019-04-13, Day:+20, С 2м/с, 746,  Evening:+11, 747
2019-04-14, Day:+11, СВ 3м/с, 750,  Evening:+7, 752
2019-04-15, Day:+12, СЗ 2м/с, 754,  Evening:+7, 754
2019-04-16, Day:+11, С 3м/с, 751,  Evening:+6, 752
2019-04-17, Day:+5, С 2м/с, 759,  Evening:+1, 760
2019-04-18, Day:+7, СВ 2м/с, 758,  Evening:+4, 758
2019-04-19, Day:+9, СЗ 2м/с, 757,  Evening:+4, 757
2019-04-20, Day:+13, З 1м/с, 756,  Evening:+7, 756
2019-04-21, Day:+13, С 3м/с, −,  Evening:+9, 755
2019-04-22, Day:+16, С 1м/с, 755,  Evening:+9, 755
2019-04-23, Day:+14, СЗ 3м/с, 753,  Evening:+10, 753
2019-04-24, Day:+17, З 2м/с, 752,  Evening:+13, 751
2019-04-25, Day:+22, СЗ 2м/с, 750,  Evening:+16, 749
2019-04-26, Day:+18, С 2м/с, 751,  Evening:+13, 751
2019-04-27, Day:+21, ЮЗ 3м/с, 746,  Evening:+19, 744
2019-04-28, Day:+11, С 2м/с, 740,  Evening:+2, 745
2019-04-29, Day:+6, С 2м/с, 751,  Evening:+3, 752
2019-03-01, Day:-2, ЮВ 2м/с, 729,  Evening:-1, 728
2019-03-02, Day:-2, С 2м/с, 728,  Evening:-6, 731
2019-03-03, Day:-4, З 2м/с, 740,  Evening:-7, 739
2019-03-04, Day:-2, З 3м/с, 738,  Evening:-5, 739
2019-03-05, Day:-3, ЮВ 2м/с, 743,  Evening:+1, 741
2019-03-06, Day:+4, ЮЗ 3м/с, 739,  Evening:+2, 740
2019-03-07, Day:-3, С 2м/с, 757,  Evening:-11, 760
2019-03-08, Day:-5, Ю 2м/с, 761,  Evening:-8, 759
2019-03-09, Day:0, Ю 3м/с, 749,  Evening:+2, 748
2019-03-10, Day:+1, В 2м/с, 746,  Evening:+1, 743
2019-03-11, Day:+2, ЮВ 3м/с, 736,  Evening:+1, 734
2019-03-12, Day:+2, З 4м/с, 739,  Evening:0, 745
2019-03-13, Day:+1, ЮВ 1м/с, 747,  Evening:-1, 746
2019-03-14, Day:0, СЗ 2м/с, 747,  Evening:-4, 752
2019-03-15, Day:0, ЮЗ 1м/с, 755,  Evening:-4, 755
2019-03-16, Day:0, В 4м/с, 752,  Evening:-3, 752
2019-03-17, Day:+1, В 2м/с, 752,  Evening:-2, 754
2019-03-18, Day:+5, С 1м/с, 757,  Evening:-1, 758
2019-03-19, Day:+6, З 2м/с, 758,  Evening:-1, 758
2019-03-20, Day:+7, З 1м/с, 756,  Evening:+2, 755
2019-03-21, Day:+4, Ш, 752,  Evening:+1, 751
2019-03-22, Day:+1, В 2м/с, 748,  Evening:0, 746
2019-03-23, Day:+3, В 1м/с, 751,  Evening:0, 752
2019-03-24, Day:+1, В 3м/с, 750,  Evening:+1, 746
2019-03-25, Day:+1, ЮЗ 4м/с, 737,  Evening:+1, 742
2019-03-26, Day:+5, Ю 2м/с, 749,  Evening:+3, 748
2019-03-27, Day:+5, Ю 2м/с, 750,  Evening:+2, 750
2019-03-28, Day:+3, СЗ 1м/с, 746,  Evening:0, 746
2019-03-29, Day:+3, ЮЗ 3м/с, 747,  Evening:-1, 749
2019-03-30, Day:+1, ЮЗ 3м/с, 749,  Evening:0, 748
2019-02-01, Day:-8, Ю 1м/с, 758,  Evening:-13, 758
2019-02-02, Day:-11, З 1м/с, 757,  Evening:-12, 757
2019-02-03, Day:-10, Ю 1м/с, 758,  Evening:-11, 758
2019-02-04, Day:-5, Ш, 758,  Evening:-6, 760
2019-02-05, Day:-11, В 4м/с, 761,  Evening:-13, 761
2019-02-06, Day:-11, В 2м/с, 761,  Evening:-11, 760
2019-02-07, Day:-8, В 3м/с, 749,  Evening:-7, 748
2019-02-08, Day:-4, СЗ 2м/с, 756,  Evening:-5, 757
2019-02-09, Day:-6, З 2м/с, 758,  Evening:-8, 758
2019-02-10, Day:-8, ЮЗ 1м/с, 757,  Evening:-13, 757
2019-02-11, Day:-8, Ю 1м/с, 758,  Evening:-13, 759
2019-02-12, Day:-7, Ю 1м/с, 760,  Evening:-14, 760
2019-02-13, Day:-10, В 3м/с, 758,  Evening:-12, 756
2019-02-14, Day:-7, ЮЗ 2м/с, 752,  Evening:-6, 753
2019-02-15, Day:-5, ЮЗ 2м/с, 749,  Evening:-6, 743
2019-02-16, Day:+2, З 2м/с, 740,  Evening:0, 740
2019-02-17, Day:-1, ЮЗ 2м/с, 734,  Evening:-2, 729
2019-02-18, Day:-1, С 2м/с, 729,  Evening:-6, 734
2019-02-19, Day:-10, СЗ 4м/с, 746,  Evening:-10, 747
2019-02-20, Day:-3, ЮЗ 2м/с, 745,  Evening:-4, 744
2019-02-21, Day:-5, Ю 2м/с, 742,  Evening:-2, 740
2019-02-22, Day:-4, ЮЗ 3м/с, 741,  Evening:-7, 746
2019-02-23, Day:-7, СЗ 2м/с, 755,  Evening:-9, 756
2019-02-24, Day:-9, З 2м/с, 755,  Evening:-11, 753
2019-02-25, Day:-8, ЮВ 1м/с, 746,  Evening:-8, 743
2019-02-26, Day:-5, В 3м/с, 739,  Evening:-6, 740
2019-02-27, Day:-4, В 2м/с, 743,  Evening:-6, 742
2019-01-01, Day:-18, В 3м/с, 758,  Evening:-15, 757
2019-01-02, Day:-6, Ю 2м/с, 757,  Evening:-6, 757
2019-01-03, Day:-7, В 3м/с, 758,  Evening:-8, 758
2019-01-04, Day:-9, В 2м/с, 755,  Evening:-8, 753
2019-01-05, Day:-10, В 3м/с, 744,  Evening:-5, 742
2019-01-06, Day:-8, З 2м/с, 749,  Evening:-12, 752
2019-01-07, Day:-15, СЗ 2м/с, 753,  Evening:-17, 753
2019-01-08, Day:-17, З 3м/с, 750,  Evening:-18, 750
2019-01-09, Day:-14, З 2м/с, 754,  Evening:-12, 755
2019-01-10, Day:-9, З 1м/с, 758,  Evening:-9, 758
2019-01-11, Day:-12, В 2м/с, 754,  Evening:-12, 751
2019-01-12, Day:0, Ю 2м/с, 737,  Evening:0, 735
2019-01-13, Day:-8, ЮЗ 2м/с, 740,  Evening:-8, 740
2019-01-14, Day:-9, Ю 1м/с, 743,  Evening:-8, 745
2019-01-15, Day:-3, Ю 4м/с, 744,  Evening:-2, 745
2019-01-16, Day:-4, В 4м/с, 740,  Evening:-3, 739
2019-01-17, Day:-7, СЗ 1м/с, 746,  Evening:-8, 749
2019-01-18, Day:-8, ЮЗ 3м/с, 747,  Evening:-6, 748
2019-01-19, Day:-2, Ю 1м/с, 746,  Evening:-1, 744
2019-01-20, Day:-7, З 1м/с, 750,  Evening:-11, 752
2019-01-21, Day:-10, Ю 2м/с, 750,  Evening:-9, 746
2019-01-22, Day:-11, ЮЗ 2м/с, 747,  Evening:-15, 750
2019-01-23, Day:-18, З 1м/с, 756,  Evening:-21, 758
2019-01-24, Day:-20, В 3м/с, 757,  Evening:-14, 749
2019-01-25, Day:-13, СЗ 2м/с, 753,  Evening:-19, 757
2019-01-26, Day:-16, В 2м/с, 761,  Evening:-20, 761
2019-01-27, Day:-13, В 5м/с, 755,  Evening:-13, 755
2019-01-28, Day:-11, В 4м/с, 755,  Evening:-10, 752
2019-01-29, Day:-9, СВ 1м/с, 751,  Evening:-9, 752
2019-01-30, Day:-6, СЗ 1м/с, 755,  Evening:-13, 756
