2022-09-01, Day:+25, З 1м/с, 746,  Evening:+23, 744
2022-08-29, Day:+32, В 2м/с, 753,  Evening:+26, 752
2022-08-30, Day:+34, ЮЗ 3м/с, 748,  Evening:+27, 747
2022-07-01, Day:+15, В 1м/с, 745,  Evening:+15, 746
2022-07-02, Day:+25, СВ 3м/с, 746,  Evening:+20, 746
2022-07-03, Day:+21, СВ 3м/с, 744,  Evening:+16, 744
2022-07-04, Day:+21, С 2м/с, 744,  Evening:+16, 746
2022-07-05, Day:+20, С 2м/с, 749,  Evening:+17, 750
2022-07-06, Day:+25, З 3м/с, 750,  Evening:+17, 750
2022-07-07, Day:+29, З 2м/с, 750,  Evening:+21, 750
2022-07-08, Day:+30, Ю 1м/с, 751,  Evening:+25, 751
2022-07-09, Day:+30, СЗ 2м/с, 749,  Evening:+25, 749
2022-07-10, Day:+31, СВ 1м/с, 749,  Evening:+26, 750
2022-07-11, Day:+32, В 2м/с, 751,  Evening:+27, 751
2022-07-12, Day:+27, ЮЗ 3м/с, 753,  Evening:+24, 752
2022-07-13, Day:+31, В 2м/с, 750,  Evening:+28, 748
2022-07-14, Day:+27, В 3м/с, 745,  Evening:+23, 741
2022-07-15, Day:+25, З 4м/с, 743,  Evening:+22, 746
2022-07-16, Day:+27, ЮЗ 2м/с, 749,  Evening:+22, 749
2022-07-17, Day:+28, З 2м/с, 749,  Evening:+25, 749
2022-07-18, Day:+31, В 3м/с, 746,  Evening:+21, 744
2022-07-19, Day:+23, ЮЗ 3м/с, 747,  Evening:+20, 748
2022-07-20, Day:+22, ЮЗ 2м/с, 746,  Evening:+18, 745
2022-07-21, Day:+26, В 3м/с, 743,  Evening:+23, 743
2022-07-22, Day:+26, В 1м/с, 745,  Evening:+22, 745
2022-07-23, Day:+26, СЗ 1м/с, 746,  Evening:+24, 745
2022-07-24, Day:+30, СВ 2м/с, 743,  Evening:+22, 743
2022-07-25, Day:+19, ЮЗ 1м/с, 742,  Evening:+20, 743
2022-07-26, Day:+28, З 2м/с, 743,  Evening:+23, 743
2022-07-27, Day:+30, СЗ 3м/с, 746,  Evening:+25, 747
2022-07-28, Day:+29, СЗ 3м/с, 748,  Evening:+24, 749
2022-07-29, Day:+27, СВ 2м/с, 749,  Evening:+23, 749
2022-07-30, Day:+28, З 2м/с, 749,  Evening:+24, 749
2022-06-01, Day:+23, СВ 2м/с, 755,  Evening:+17, 756
2022-06-02, Day:+25, З 2м/с, 756,  Evening:+18, 755
2022-06-03, Day:+27, ЮЗ 2м/с, 753,  Evening:+20, 752
2022-06-04, Day:+19, Ш, 750,  Evening:+18, 749
2022-06-05, Day:+24, Ю 1м/с, 748,  Evening:+20, 747
2022-06-06, Day:+16, СВ 2м/с, 742,  Evening:+14, 739
2022-06-07, Day:+15, З 4м/с, 741,  Evening:+14, 742
2022-06-08, Day:+12, З 3м/с, 743,  Evening:+12, 743
2022-06-09, Day:+17, СЗ 2м/с, 744,  Evening:+16, 745
2022-06-10, Day:+26, СЗ 2м/с, 745,  Evening:+19, 745
2022-06-11, Day:+25, С 2м/с, 745,  Evening:+20, 745
2022-06-12, Day:+19, СЗ 2м/с, 746,  Evening:+14, 746
2022-06-13, Day:+21, З 2м/с, 748,  Evening:+16, 748
2022-06-14, Day:+26, З 2м/с, 749,  Evening:+19, 749
2022-06-15, Day:+28, З 2м/с, 749,  Evening:+22, 748
2022-06-16, Day:+25, В 1м/с, 747,  Evening:+23, 747
2022-06-17, Day:+23, СЗ 1м/с, 746,  Evening:+18, 746
2022-06-18, Day:+25, ЮЗ 2м/с, 746,  Evening:+20, 746
2022-06-19, Day:+23, СЗ 2м/с, 746,  Evening:+17, 746
2022-06-20, Day:+21, З 3м/с, 740,  Evening:+15, 740
2022-06-21, Day:+22, ЮЗ 3м/с, 740,  Evening:+18, 739
2022-06-22, Day:+28, З 2м/с, 737,  Evening:+23, 737
2022-06-23, Day:+24, С 2м/с, 743,  Evening:+20, 743
2022-06-24, Day:+23, СВ 3м/с, 743,  Evening:+19, 744
2022-06-25, Day:+27, СЗ 3м/с, 746,  Evening:+23, 746
2022-06-26, Day:+23, СЗ 3м/с, 749,  Evening:+19, 750
2022-06-27, Day:+26, З 3м/с, 749,  Evening:+23, 747
2022-06-28, Day:+19, С 2м/с, 749,  Evening:+15, 750
2022-06-29, Day:+17, С 1м/с, 750,  Evening:+16, 749
2022-05-01, Day:+8, СЗ 3м/с, 752,  Evening:+6, 754
2022-05-02, Day:+13, ЮЗ 2м/с, 753,  Evening:+9, 752
2022-05-03, Day:+17, З 2м/с, 749,  Evening:+13, 749
2022-05-04, Day:+19, ЮЗ 3м/с, 745,  Evening:+13, 746
2022-05-05, Day:+7, СЗ 3м/с, 750,  Evening:+4, 755
2022-05-06, Day:+11, СЗ 2м/с, 759,  Evening:+9, 761
2022-05-07, Day:+15, ЮЗ 1м/с, 761,  Evening:+8, 760
2022-05-08, Day:+18, ЮЗ 1м/с, 756,  Evening:+11, 755
2022-05-09, Day:+19, В 2м/с, 748,  Evening:+17, 745
2022-05-10, Day:+9, СЗ 2м/с, 737,  Evening:+8, 737
2022-05-11, Day:+12, Ю 3м/с, 745,  Evening:+7, 745
2022-05-12, Day:+10, СЗ 2м/с, 740,  Evening:+8, 741
2022-05-13, Day:+16, З 2м/с, 738,  Evening:+11, 741
2022-05-14, Day:+17, ЮЗ 2м/с, 742,  Evening:+15, 742
2022-05-15, Day:+16, ЮЗ 2м/с, 740,  Evening:+11, 739
2022-05-16, Day:+17, З 2м/с, 739,  Evening:+13, 740
2022-05-17, Day:+14, З 2м/с, 740,  Evening:+11, 740
2022-05-18, Day:+11, З 2м/с, 740,  Evening:+10, 743
2022-05-19, Day:+12, З 2м/с, 745,  Evening:+7, 746
2022-05-20, Day:+12, С 1м/с, 743,  Evening:+8, 743
2022-05-21, Day:+10, СЗ 4м/с, 743,  Evening:+7, 743
2022-05-22, Day:+14, З 2м/с, 737,  Evening:+11, 737
2022-05-23, Day:+13, ЮЗ 2м/с, 737,  Evening:+11, 740
2022-05-24, Day:+16, ЮЗ 3м/с, 742,  Evening:+13, 743
2022-05-25, Day:+11, З 2м/с, 746,  Evening:+7, 748
2022-05-26, Day:+16, ЮЗ 3м/с, 748,  Evening:+12, 747
2022-05-27, Day:+19, ЮЗ 2м/с, 740,  Evening:+13, 741
2022-05-28, Day:+19, Ю 1м/с, 743,  Evening:+15, 744
2022-05-29, Day:+19, ЮЗ 2м/с, 751,  Evening:+14, 752
2022-05-30, Day:+21, С 1м/с, 753,  Evening:+14, 754
2022-04-01, Day:+7, ЮЗ 1м/с, 748,  Evening:+4, 746
2022-04-02, Day:+9, Ю 1м/с, 743,  Evening:+5, 743
2022-04-03, Day:+11, ЮЗ 3м/с, 737,  Evening:+8, 737
2022-04-04, Day:+5, ЮЗ 4м/с, 735,  Evening:+2, 739
2022-04-05, Day:+4, ЮЗ 3м/с, 747,  Evening:+2, 749
2022-04-06, Day:+7, Ю 3м/с, 746,  Evening:+5, 745
2022-04-07, Day:+8, ЮЗ 2м/с, 749,  Evening:+7, 750
2022-04-08, Day:+16, ЮВ 2м/с, 749,  Evening:+11, 749
2022-04-09, Day:+8, В 2м/с, 746,  Evening:+7, 746
2022-04-10, Day:+11, В 1м/с, 749,  Evening:+8, 751
2022-04-11, Day:+16, В 2м/с, 749,  Evening:+12, 749
2022-04-12, Day:+14, СВ 2м/с, 747,  Evening:+12, 748
2022-04-13, Day:+15, В 3м/с, 746,  Evening:+11, 744
2022-04-14, Day:+11, ЮВ 2м/с, 743,  Evening:+7, 743
2022-04-15, Day:+5, З 2м/с, 743,  Evening:+3, 747
2022-04-16, Day:+11, З 1м/с, 752,  Evening:+7, 752
2022-04-17, Day:+16, Ю 1м/с, 751,  Evening:+13, 751
2022-04-18, Day:+18, ЮВ 1м/с, 752,  Evening:+12, 752
2022-04-19, Day:+21, Ю 1м/с, 752,  Evening:+18, 750
2022-04-20, Day:+17, СВ 1м/с, 749,  Evening:+11, 750
2022-04-21, Day:+9, СВ 2м/с, 751,  Evening:+10, 752
2022-04-22, Day:+15, СВ 3м/с, 750,  Evening:+10, 749
2022-04-23, Day:+13, В 2м/с, 749,  Evening:+8, 750
2022-04-24, Day:+14, ЮЗ 1м/с, 751,  Evening:+12, 751
2022-04-25, Day:+19, З 2м/с, 750,  Evening:+16, 750
2022-04-26, Day:+23, Ю 3м/с, 748,  Evening:+20, 747
2022-04-27, Day:+17, З 2м/с, 748,  Evening:+17, 746
2022-04-28, Day:+14, СЗ 2м/с, 751,  Evening:+8, 754
2022-04-29, Day:+10, СЗ 2м/с, 756,  Evening:+8, 757
2022-03-01, Day:+1, СЗ 1м/с, 758,  Evening:-6, 758
2022-03-02, Day:-5, В 1м/с, 758,  Evening:-5, 755
2022-03-03, Day:-5, В 1м/с, 750,  Evening:-6, 749
2022-03-04, Day:-2, СВ 2м/с, 742,  Evening:-2, 740
2022-03-05, Day:-2, СВ 3м/с, 730,  Evening:-4, 732
2022-03-06, Day:-9, СЗ 3м/с, 740,  Evening:-10, 743
2022-03-07, Day:-3, Ш, 744,  Evening:-9, 747
2022-03-08, Day:-7, В 2м/с, 749,  Evening:-8, 750
2022-03-09, Day:-7, СВ 2м/с, 752,  Evening:-8, 753
2022-03-10, Day:-6, СВ 2м/с, 756,  Evening:-10, 758
2022-03-11, Day:-7, СВ 3м/с, 755,  Evening:-10, 755
2022-03-12, Day:-7, СВ 2м/с, 754,  Evening:-10, 755
2022-03-13, Day:-5, З 1м/с, 755,  Evening:-9, 754
2022-03-14, Day:-8, В 1м/с, 752,  Evening:-10, 752
2022-03-15, Day:-6, В 4м/с, 756,  Evening:-9, 758
2022-03-16, Day:-8, В 4м/с, 760,  Evening:-8, 761
2022-03-17, Day:-3, С 2м/с, 764,  Evening:-6, 764
2022-03-18, Day:0, СВ 2м/с, 766,  Evening:-9, 767
2022-03-19, Day:+2, З 1м/с, 766,  Evening:-2, 764
2022-03-20, Day:+5, З 1м/с, 755,  Evening:+3, 753
2022-03-21, Day:0, С 2м/с, 749,  Evening:-1, 755
2022-03-22, Day:+5, СЗ 2м/с, 758,  Evening:-1, 757
2022-03-23, Day:+7, З 2м/с, 755,  Evening:+1, 755
2022-03-24, Day:+6, З 2м/с, 752,  Evening:0, 752
2022-03-25, Day:+7, З 1м/с, 751,  Evening:+3, 751
2022-03-26, Day:+5, Ю 2м/с, 743,  Evening:-2, 740
2022-03-27, Day:+1, ЮЗ 2м/с, 732,  Evening:0, 734
2022-03-28, Day:-3, СЗ 2м/с, 742,  Evening:-4, 743
2022-03-29, Day:+5, З 4м/с, 737,  Evening:+2, 741
2022-03-30, Day:+4, ЮЗ 2м/с, 743,  Evening:+3, 747
2022-02-01, Day:0, Ю 2м/с, 744,  Evening:-2, 745
2022-02-02, Day:-2, Ю 1м/с, 750,  Evening:0, 750
2022-02-03, Day:0, Ю 2м/с, 748,  Evening:0, 747
2022-02-04, Day:-2, В 2м/с, 742,  Evening:-4, 741
2022-02-05, Day:-4, Ш, 741,  Evening:-4, 742
2022-02-06, Day:-3, З 1м/с, 743,  Evening:-4, 744
2022-02-07, Day:-5, З 1м/с, 747,  Evening:-7, 749
2022-02-08, Day:-5, Ю 1м/с, 751,  Evening:-5, 751
2022-02-09, Day:-2, ЮВ 2м/с, 751,  Evening:-4, 752
2022-02-10, Day:-6, В 3м/с, 746,  Evening:-6, 745
2022-02-11, Day:-1, З 2м/с, 746,  Evening:-1, 746
2022-02-12, Day:+1, З 1м/с, 748,  Evening:-4, 749
2022-02-13, Day:-4, ЮЗ 3м/с, 749,  Evening:-4, 750
2022-02-14, Day:-2, Ю 1м/с, 755,  Evening:-6, 753
2022-02-15, Day:-4, ЮЗ 2м/с, 754,  Evening:-8, 755
2022-02-16, Day:-7, З 1м/с, 757,  Evening:-12, 757
2022-02-17, Day:-11, В 2м/с, 753,  Evening:-12, 752
2022-02-18, Day:-5, В 3м/с, 749,  Evening:-7, 749
2022-02-19, Day:-5, ЮВ 2м/с, 749,  Evening:-4, 748
2022-02-20, Day:+1, ЮЗ 3м/с, 740,  Evening:+1, 740
2022-02-21, Day:+1, З 2м/с, 744,  Evening:-2, 746
2022-02-22, Day:0, Ю 1м/с, 747,  Evening:+2, 747
2022-02-23, Day:+1, ЮЗ 3м/с, 746,  Evening:0, 747
2022-02-24, Day:+1, ЮЗ 1м/с, 755,  Evening:0, 756
2022-02-25, Day:-2, В 2м/с, 760,  Evening:-5, 759
2022-02-26, Day:-1, В 2м/с, 755,  Evening:0, 755
2022-02-27, Day:+1, В 3м/с, 755,  Evening:0, 758
2022-01-01, Day:-4, Ю 1м/с, 743,  Evening:-3, 740
2022-01-02, Day:-3, З 2м/с, 734,  Evening:-8, 739
2022-01-03, Day:-11, З 2м/с, 740,  Evening:-16, 740
2022-01-04, Day:-15, В 2м/с, 741,  Evening:-14, 743
2022-01-05, Day:-16, З 1м/с, 749,  Evening:-19, 748
2022-01-06, Day:-7, В 2м/с, 741,  Evening:0, 737
2022-01-07, Day:0, ЮЗ 2м/с, 739,  Evening:0, 740
2022-01-08, Day:-8, З 2м/с, 753,  Evening:-11, 758
2022-01-09, Day:-11, В 2м/с, 762,  Evening:-15, 761
2022-01-10, Day:-12, В 2м/с, 755,  Evening:-12, 754
2022-01-11, Day:-8, В 1м/с, 752,  Evening:-8, 753
2022-01-12, Day:-7, В 2м/с, 755,  Evening:-8, 755
2022-01-13, Day:-9, В 3м/с, 749,  Evening:-8, 744
2022-01-14, Day:-15, Ю 2м/с, 728,  Evening:-10, 722
2022-01-15, Day:-10, СЗ 3м/с, 719,  Evening:-13, 726
2022-01-16, Day:-6, З 2м/с, 736,  Evening:-6, 740
2022-01-17, Day:-6, ЮЗ 2м/с, 743,  Evening:-7, 742
2022-01-18, Day:-2, Ю 2м/с, 744,  Evening:-2, 747
2022-01-19, Day:-5, ЮВ 2м/с, 749,  Evening:-6, 751
2022-01-20, Day:-9, В 1м/с, 752,  Evening:-11, 752
2022-01-21, Day:-11, В 1м/с, 752,  Evening:-13, 753
2022-01-22, Day:-7, В 3м/с, 754,  Evening:-7, 755
2022-01-23, Day:-10, В 3м/с, 761,  Evening:-10, 761
2022-01-24, Day:-11, В 2м/с, 763,  Evening:-13, 763
2022-01-25, Day:-14, В 2м/с, 758,  Evening:-16, 755
2022-01-26, Day:-11, ЮЗ 1м/с, 750,  Evening:-12, 751
2022-01-27, Day:-8, Ш, 753,  Evening:-7, 753
2022-01-28, Day:-7, В 2м/с, 751,  Evening:-8, 749
2022-01-29, Day:-12, В 1м/с, 747,  Evening:-13, 746
2022-01-30, Day:-2, В 1м/с, 740,  Evening:-4, 742
