2012-12-01, Day:+4, ЮЗ 1м/с, 749,  Evening:+5, 750
2012-11-24, Day:-1, З 2м/с, 759,  Evening:-1, 759
2012-11-25, Day:-2, ЮВ 1м/с, 760,  Evening:-3, 759
2012-11-26, Day:-3, Ю 2м/с, 754,  Evening:-3, 752
2012-11-27, Day:-1, ЮЗ 2м/с, 747,  Evening:-1, 746
2012-11-28, Day:-3, СЗ 1м/с, 749,  Evening:-3, 750
2012-11-29, Day:-4, Ш, 752,  Evening:-5, 751
2012-10-01, Day:+13, З 6м/с, 743,  Evening:+10, 745
2012-10-02, Day:+10, СЗ 4м/с, 754,  Evening:+8, 755
2012-10-03, Day:+12, С 2м/с, 755,  Evening:+6, 756
2012-10-04, Day:+9, Ю 1м/с, 756,  Evening:+8, 755
2012-10-05, Day:+13, Ю 1м/с, 754,  Evening:+13, 753
2012-10-06, Day:+9, Ю 3м/с, 749,  Evening:+11, 748
2012-10-07, Day:+17, З 2м/с, 749,  Evening:+15, 748
2012-10-08, Day:+21, Ю 3м/с, 748,  Evening:+15, 747
2012-10-09, Day:+23, ЮВ 2м/с, 744,  Evening:+18, 742
2012-10-10, Day:+12, ЮЗ 3м/с, 746,  Evening:+10, 750
2012-10-11, Day:+15, З 1м/с, 754,  Evening:+10, 754
2012-10-12, Day:+13, В 2м/с, 750,  Evening:+12, 747
2012-10-13, Day:+10, З 2м/с, 742,  Evening:+8, 743
2012-10-14, Day:+7, СЗ 3м/с, 750,  Evening:+6, 753
2012-10-15, Day:+10, З 3м/с, 758,  Evening:+4, 759
2012-10-16, Day:+13, Ш, 760,  Evening:+10, 760
2012-10-17, Day:+10, В 2м/с, 758,  Evening:+9, 758
2012-10-18, Day:+15, ЮЗ 2м/с, 759,  Evening:+14, 760
2012-10-19, Day:+17, ЮЗ 3м/с, 761,  Evening:+12, 761
2012-10-20, Day:+17, ЮЗ 4м/с, 756,  Evening:+13, 755
2012-10-21, Day:+13, З 2м/с, 754,  Evening:+12, 750
2012-10-22, Day:+11, З 2м/с, 747,  Evening:+4, 750
2012-10-23, Day:+1, С 2м/с, 756,  Evening:+1, 757
2012-10-24, Day:+3, В 1м/с, 752,  Evening:+3, 751
2012-10-25, Day:+3, З 2м/с, 748,  Evening:+3, 747
2012-10-26, Day:+4, Ю 2м/с, 739,  Evening:+5, 738
2012-10-28, Day:+6, ЮВ 2м/с, 753,  Evening:+6, 753
2012-10-29, Day:+14, Ю 4м/с, 747,  Evening:+10, 747
2012-10-30, Day:+2, В 2м/с, 753,  Evening:+2, 752
2012-09-01, Day:+12, СЗ 2м/с, 747,  Evening:+10, 748
2012-09-02, Day:+12, С 2м/с, 753,  Evening:+7, 754
2012-09-03, Day:+16, З 2м/с, 751,  Evening:+13, 751
2012-09-04, Day:+18, СЗ 1м/с, 749,  Evening:+15, 748
2012-09-05, Day:+21, ЮВ 1м/с, 746,  Evening:+16, 747
2012-09-06, Day:+23, З 2м/с, 748,  Evening:+15, 748
2012-09-07, Day:+24, ЮЗ 2м/с, 743,  Evening:+20, 742
2012-09-08, Day:+15, СЗ 2м/с, 742,  Evening:+9, 744
2012-09-09, Day:+18, ЮЗ 3м/с, 743,  Evening:+16, 741
2012-09-10, Day:+11, З 4м/с, 743,  Evening:+10, 745
2012-09-11, Day:+12, З 3м/с, 747,  Evening:+11, 748
2012-09-12, Day:+14, З 2м/с, 747,  Evening:+11, 745
2012-09-13, Day:+20, СЗ 2м/с, 747,  Evening:+15, 747
2012-09-14, Day:+24, СЗ 2м/с, 749,  Evening:+13, 749
2012-09-15, Day:+26, З 3м/с, 748,  Evening:+20, 747
2012-09-16, Day:+27, З 3м/с, 743,  Evening:+17, 742
2012-09-17, Day:+17, С 3м/с, 749,  Evening:+11, 750
2012-09-18, Day:+18, СЗ 3м/с, 752,  Evening:+12, 753
2012-09-19, Day:+18, СВ 1м/с, 755,  Evening:+15, 756
2012-09-20, Day:+19, В 2м/с, 756,  Evening:+11, 756
2012-09-21, Day:+22, В 1м/с, 756,  Evening:+15, 756
2012-09-22, Day:+22, Ю 2м/с, 755,  Evening:+13, 755
2012-09-23, Day:+23, ЮВ 2м/с, 751,  Evening:+18, 750
2012-09-24, Day:+12, ЮЗ 2м/с, 743,  Evening:+11, 744
2012-09-25, Day:+14, ЮЗ 5м/с, 741,  Evening:+11, 743
2012-09-26, Day:+13, ЮЗ 2м/с, 748,  Evening:+13, 750
2012-09-27, Day:+15, С 3м/с, 753,  Evening:+8, 755
2012-09-28, Day:+14, З 2м/с, 757,  Evening:+10, 756
2012-09-29, Day:+14, Ю 2м/с, 751,  Evening:+14, 751
2012-08-01, Day:+30, СЗ 1м/с, 749,  Evening:+22, 749
2012-08-02, Day:+32, З 3м/с, 750,  Evening:+25, 751
2012-08-03, Day:+31, С 2м/с, 750,  Evening:+26, 750
2012-08-04, Day:+32, СЗ 2м/с, 749,  Evening:+26, 749
2012-08-05, Day:+33, СЗ 2м/с, 748,  Evening:+22, 748
2012-08-06, Day:+32, С 1м/с, 748,  Evening:+28, 749
2012-08-07, Day:+31, СЗ 2м/с, 750,  Evening:+26, 750
2012-08-08, Day:+33, С 1м/с, 749,  Evening:+23, 748
2012-08-09, Day:+37, З 1м/с, 745,  Evening:+23, 748
2012-08-10, Day:+29, С 2м/с, 745,  Evening:+20, 745
2012-08-11, Day:+22, СЗ 2м/с, 747,  Evening:+21, 748
2012-08-12, Day:+27, СВ 2м/с, 750,  Evening:+24, 750
2012-08-13, Day:+30, СВ 2м/с, 749,  Evening:+25, 749
2012-08-14, Day:+28, В 2м/с, 750,  Evening:+25, 751
2012-08-15, Day:+28, В 3м/с, 748,  Evening:+21, 746
2012-08-16, Day:+26, З 2м/с, 744,  Evening:+19, 745
2012-08-17, Day:+21, В 1м/с, 746,  Evening:+19, 745
2012-08-18, Day:+26, ЮЗ 3м/с, 740,  Evening:+19, 740
2012-08-19, Day:+23, СЗ 2м/с, 745,  Evening:+15, 746
2012-08-20, Day:+25, З 2м/с, 744,  Evening:+20, 742
2012-08-21, Day:+24, З 2м/с, 739,  Evening:+19, 739
2012-08-22, Day:+19, З 1м/с, 738,  Evening:+15, 739
2012-08-23, Day:+22, С 2м/с, 741,  Evening:+17, 742
2012-08-24, Day:+23, З 3м/с, 740,  Evening:+17, 742
2012-08-25, Day:+21, СЗ 3м/с, 744,  Evening:+15, 745
2012-08-26, Day:+20, З 1м/с, 744,  Evening:+15, 745
2012-08-27, Day:+22, СВ 2м/с, 748,  Evening:+18, 748
2012-08-28, Day:+25, ЮВ 1м/с, 748,  Evening:+20, 749
2012-08-29, Day:+28, ЮВ 2м/с, 747,  Evening:+23, 745
2012-08-30, Day:+24, ЮЗ 3м/с, 741,  Evening:+17, 740
2012-07-01, Day:+24, С 3м/с, 749,  Evening:+19, 751
2012-07-02, Day:+19, СВ 2м/с, 749,  Evening:+19, 746
2012-07-03, Day:+25, ЮВ 2м/с, 747,  Evening:+22, 747
2012-07-04, Day:+28, ЮЗ 1м/с, 749,  Evening:+21, 749
2012-07-05, Day:+29, СЗ 2м/с, 750,  Evening:+22, 749
2012-07-06, Day:+27, СВ 2м/с, 749,  Evening:+24, 748
2012-07-07, Day:+25, В 2м/с, 747,  Evening:+20, 746
2012-07-08, Day:+25, СВ 2м/с, 748,  Evening:+21, 748
2012-07-09, Day:+27, С 2м/с, 749,  Evening:+17, 749
2012-07-10, Day:+30, З 2м/с, 750,  Evening:+21, 749
2012-07-11, Day:+32, В 1м/с, 750,  Evening:+28, 749
2012-07-12, Day:+34, СЗ 2м/с, 748,  Evening:+29, 746
2012-07-13, Day:+31, ЮВ 2м/с, 746,  Evening:+27, 745
2012-07-14, Day:+29, В 2м/с, 743,  Evening:+25, 743
2012-07-15, Day:+32, З 2м/с, 744,  Evening:+24, 745
2012-07-16, Day:+32, ЮЗ 2м/с, 745,  Evening:+23, 744
2012-07-17, Day:+27, Ю 3м/с, 742,  Evening:+25, 739
2012-07-18, Day:+19, З 6м/с, 742,  Evening:+16, 745
2012-07-19, Day:+22, ЮЗ 3м/с, 746,  Evening:+21, 745
2012-07-20, Day:+23, ЮЗ 3м/с, 746,  Evening:+22, 746
2012-07-21, Day:+27, ЮЗ 3м/с, 746,  Evening:+19, 748
2012-07-22, Day:+26, З 3м/с, 752,  Evening:+18, 754
2012-07-23, Day:+29, ЮЗ 3м/с, 753,  Evening:+22, 752
2012-07-24, Day:+23, З 2м/с, 750,  Evening:+19, 750
2012-07-25, Day:+24, З 2м/с, 750,  Evening:+20, 751
2012-07-26, Day:+24, СЗ 1м/с, 749,  Evening:+21, 749
2012-07-27, Day:+28, ЮЗ 2м/с, 748,  Evening:+23, 746
2012-07-28, Day:+25, СЗ 3м/с, 748,  Evening:+21, 749
2012-07-29, Day:+23, С 3м/с, 751,  Evening:+18, 752
2012-07-30, Day:+25, СВ 3м/с, 750,  Evening:+17, 750
2012-06-01, Day:+26, З 2м/с, 746,  Evening:+22, 746
2012-06-02, Day:+25, З 2м/с, 746,  Evening:+19, 746
2012-06-03, Day:+20, З 5м/с, 743,  Evening:+14, 746
2012-06-04, Day:+12, З 2м/с, 746,  Evening:+11, 748
2012-06-05, Day:+21, ЮЗ 2м/с, 749,  Evening:+19, 749
2012-06-06, Day:+22, Ш, 747,  Evening:+21, 746
2012-06-07, Day:+29, В 2м/с, 743,  Evening:+26, 741
2012-06-08, Day:+33, ЮЗ 3м/с, 741,  Evening:+21, 742
2012-06-09, Day:+25, З 3м/с, 746,  Evening:+18, 746
2012-06-10, Day:+24, СЗ 3м/с, 749,  Evening:+20, 747
2012-06-11, Day:+20, З 1м/с, 746,  Evening:+17, 746
2012-06-12, Day:+27, З 2м/с, 748,  Evening:+21, 746
2012-06-13, Day:+34, ЮЗ 3м/с, 743,  Evening:+24, 744
2012-06-14, Day:+33, ЮЗ 3м/с, 746,  Evening:+28, 746
2012-06-15, Day:+31, СВ 2м/с, 749,  Evening:+20, 747
2012-06-16, Day:+31, В 3м/с, 743,  Evening:+27, 740
2012-06-17, Day:+26, С 3м/с, 740,  Evening:+21, 742
2012-06-18, Day:+23, СЗ 3м/с, 744,  Evening:+20, 744
2012-06-19, Day:+23, С 3м/с, 743,  Evening:+19, 743
2012-06-20, Day:+21, СВ 2м/с, 743,  Evening:+19, 743
2012-06-21, Day:+26, СВ 2м/с, 743,  Evening:+21, 743
2012-06-22, Day:+19, Ш, 742,  Evening:+18, 743
2012-06-23, Day:+24, С 3м/с, 745,  Evening:+19, 747
2012-06-24, Day:+24, С 2м/с, 747,  Evening:+18, 748
2012-06-25, Day:+26, С 2м/с, 748,  Evening:+22, 748
2012-06-26, Day:+29, Ю 3м/с, 749,  Evening:+25, 747
2012-06-27, Day:+30, ЮВ 1м/с, 746,  Evening:+25, 746
2012-06-28, Day:+29, В 2м/с, 743,  Evening:+25, 741
2012-06-29, Day:+25, СЗ 2м/с, 740,  Evening:+19, 742
2012-05-01, Day:+11, С 2м/с, 745,  Evening:+9, 741
2012-05-02, Day:+14, С 3м/с, 740,  Evening:+8, 744
2012-05-03, Day:+13, З 2м/с, 740,  Evening:+8, 741
2012-05-04, Day:+18, З 3м/с, 741,  Evening:+10, 746
2012-05-05, Day:+16, З 1м/с, 751,  Evening:+8, 751
2012-05-06, Day:+21, Ю 3м/с, 751,  Evening:+20, 751
2012-05-07, Day:+27, З 2м/с, 752,  Evening:+22, 752
2012-05-08, Day:+27, З 2м/с, 753,  Evening:+18, 754
2012-05-09, Day:+29, З 2м/с, 757,  Evening:+21, 757
2012-05-10, Day:+30, ЮЗ 3м/с, 758,  Evening:+22, 756
2012-05-11, Day:+26, С 2м/с, 755,  Evening:+19, 754
2012-05-12, Day:+21, Ш, 748,  Evening:+21, 748
2012-05-13, Day:+29, З 2м/с, 746,  Evening:+20, 746
2012-05-14, Day:+24, ЮВ 2м/с, 748,  Evening:+17, 749
2012-05-15, Day:+21, СВ 3м/с, 752,  Evening:+16, 754
2012-05-16, Day:+22, В 2м/с, 754,  Evening:+17, 754
2012-05-17, Day:+21, З 1м/с, 753,  Evening:+18, 752
2012-05-18, Day:+25, В 2м/с, 754,  Evening:+16, 755
2012-05-19, Day:+27, З 2м/с, 758,  Evening:+17, 758
2012-05-20, Day:+27, З 1м/с, 758,  Evening:+19, 757
2012-05-21, Day:+27, С 1м/с, 755,  Evening:+19, 754
2012-05-22, Day:+27, З 1м/с, 752,  Evening:+23, 749
2012-05-23, Day:+26, Ю 1м/с, 746,  Evening:+22, 745
2012-05-24, Day:+12, С 4м/с, 749,  Evening:+12, 750
2012-05-25, Day:+15, В 3м/с, 749,  Evening:+15, 749
2012-05-26, Day:+21, В 2м/с, 743,  Evening:+20, 742
2012-05-27, Day:+25, З 2м/с, 741,  Evening:+20, 741
2012-05-28, Day:+18, З 3м/с, 743,  Evening:+12, 745
2012-05-29, Day:+25, З 2м/с, 746,  Evening:+16, 747
2012-05-30, Day:+27, ЮЗ 2м/с, 749,  Evening:+22, 748
2012-04-01, Day:+3, Ю 2м/с, 736,  Evening:+3, 734
2012-04-02, Day:+4, З 3м/с, 742,  Evening:+1, 744
2012-04-03, Day:+2, ЮЗ 3м/с, 745,  Evening:+1, 748
2012-04-04, Day:+4, З 3м/с, 755,  Evening:0, 756
2012-04-05, Day:+8, Ю 3м/с, 751,  Evening:+7, 749
2012-04-06, Day:+3, С 1м/с, 749,  Evening:+1, 749
2012-04-07, Day:+9, ЮВ 2м/с, 748,  Evening:+7, 746
2012-04-08, Day:+12, ЮВ 3м/с, 743,  Evening:+13, 743
2012-04-09, Day:+19, ЮВ 2м/с, 743,  Evening:+15, 742
2012-04-10, Day:+22, ЮВ 2м/с, 746,  Evening:+18, 745
2012-04-11, Day:+12, З 4м/с, 746,  Evening:+8, 749
2012-04-12, Day:+14, СВ 2м/с, 750,  Evening:+12, 749
2012-04-13, Day:+21, Ю 4м/с, 740,  Evening:+14, 743
2012-04-14, Day:+17, З 3м/с, 749,  Evening:+14, 750
2012-04-15, Day:+20, СВ 1м/с, 752,  Evening:+17, 751
2012-04-16, Day:+25, ЮВ 2м/с, 748,  Evening:+20, 747
2012-04-17, Day:+29, ЮВ 3м/с, 746,  Evening:+23, 745
2012-04-18, Day:+25, ЮЗ 3м/с, 744,  Evening:+21, 743
2012-04-19, Day:+24, СВ 2м/с, 745,  Evening:+19, 746
2012-04-20, Day:+25, В 3м/с, 747,  Evening:+21, 747
2012-04-21, Day:+28, ЮВ 3м/с, 747,  Evening:+22, 747
2012-04-22, Day:+17, В 1м/с, 746,  Evening:+16, 746
2012-04-23, Day:+25, ЮВ 1м/с, 747,  Evening:+21, 746
2012-04-24, Day:+22, З 3м/с, 747,  Evening:+16, 749
2012-04-25, Day:+23, СЗ 1м/с, 752,  Evening:+15, 752
2012-04-26, Day:+25, С 2м/с, 751,  Evening:+19, 752
2012-04-27, Day:+25, З 1м/с, 749,  Evening:+19, 749
2012-04-28, Day:+24, СЗ 2м/с, 750,  Evening:+19, 749
2012-04-29, Day:+22, З 3м/с, 748,  Evening:+21, 744
2012-03-01, Day:-3, ЮВ 2м/с, 744,  Evening:-3, 743
2012-03-02, Day:-3, В 2м/с, 740,  Evening:-6, 739
2012-03-03, Day:-4, В 2м/с, 736,  Evening:-6, 737
2012-03-04, Day:-3, ЮВ 2м/с, 741,  Evening:-6, 743
2012-03-05, Day:-3, С 3м/с, 740,  Evening:-5, 740
2012-03-06, Day:-3, В 2м/с, 741,  Evening:-6, 743
2012-03-07, Day:-6, В 2м/с, 746,  Evening:-9, 746
2012-03-08, Day:-7, В 2м/с, 750,  Evening:-7, 750
2012-03-09, Day:-6, ЮВ 2м/с, 749,  Evening:-13, 751
2012-03-10, Day:-13, В 2м/с, 754,  Evening:-15, 755
2012-03-11, Day:-10, ЮВ 1м/с, 756,  Evening:-15, 758
2012-03-12, Day:-12, Ю 2м/с, 755,  Evening:-16, 753
2012-03-13, Day:-11, В 3м/с, 740,  Evening:-10, 737
2012-03-14, Day:-5, В 3м/с, 728,  Evening:-2, 722
2012-03-15, Day:-1, З 2м/с, 736,  Evening:-5, 739
2012-03-16, Day:-3, СЗ 2м/с, 743,  Evening:-8, 745
2012-03-17, Day:-6, З 3м/с, 743,  Evening:-6, 742
2012-03-18, Day:+1, З 4м/с, 742,  Evening:+1, 741
2012-03-19, Day:+6, СЗ 1м/с, 747,  Evening:-1, 749
2012-03-20, Day:0, Ю 3м/с, 743,  Evening:0, 743
2012-03-21, Day:+1, ЮЗ 5м/с, 737,  Evening:0, 739
2012-03-22, Day:+3, СЗ 2м/с, 742,  Evening:-1, 737
2012-03-23, Day:0, З 3м/с, 742,  Evening:-4, 742
2012-03-24, Day:-2, С 2м/с, 740,  Evening:-4, 743
2012-03-25, Day:-1, СЗ 3м/с, 747,  Evening:-4, 749
2012-03-26, Day:-3, ЮВ 3м/с, 747,  Evening:-3, 737
2012-03-27, Day:0, ЮЗ 3м/с, 732,  Evening:-1, 734
2012-03-28, Day:-3, З 3м/с, 738,  Evening:-5, 742
2012-03-29, Day:-2, ЮЗ 3м/с, 746,  Evening:-4, 746
2012-03-30, Day:+2, ЮЗ 5м/с, 741,  Evening:+3, 742
2012-02-01, Day:-19, В 3м/с, 772,  Evening:-21, 773
2012-02-02, Day:-19, В 2м/с, 772,  Evening:-21, 772
2012-02-03, Day:-19, В 1м/с, 777,  Evening:-24, 779
2012-02-04, Day:-15, С 2м/с, 776,  Evening:-20, 774
2012-02-05, Day:-14, СВ 2м/с, 770,  Evening:-16, 770
2012-02-07, Day:-13, В 2м/с, 769,  Evening:-14, 767
2012-02-08, Day:-13, В 5м/с, 760,  Evening:-11, 758
2012-02-09, Day:-12, В 3м/с, 756,  Evening:-16, 758
2012-02-10, Day:-17, ЮВ 2м/с, 762,  Evening:-18, 762
2012-02-11, Day:-14, ЮВ 2м/с, 763,  Evening:-16, 764
2012-02-12, Day:-17, Ш, 766,  Evening:-25, 766
2012-02-13, Day:-17, ЮВ 1м/с, 764,  Evening:-18, 764
2012-02-14, Day:-13, В 2м/с, 764,  Evening:-14, 763
2012-02-15, Day:-11, ЮВ 4м/с, 758,  Evening:-14, 757
2012-02-16, Day:-10, ЮВ 2м/с, 758,  Evening:-13, 759
2012-02-17, Day:-8, В 3м/с, 758,  Evening:-12, 758
2012-02-18, Day:-9, ЮВ 2м/с, 760,  Evening:-12, 761
2012-02-19, Day:-6, СЗ 2м/с, 762,  Evening:-11, 763
2012-02-20, Day:-6, СЗ 2м/с, 765,  Evening:-10, 764
2012-02-21, Day:-5, З 1м/с, 761,  Evening:-10, 760
2012-02-22, Day:-10, Ю 2м/с, 757,  Evening:-13, 757
2012-02-23, Day:-8, Ю 2м/с, 756,  Evening:-13, 755
2012-02-24, Day:-8, ЮВ 3м/с, 751,  Evening:-11, 749
2012-02-25, Day:-10, ЮВ 4м/с, 746,  Evening:-10, 746
2012-02-26, Day:-9, В 5м/с, 745,  Evening:-10, 745
2012-02-27, Day:-9, В 4м/с, 746,  Evening:-8, 747
2012-02-28, Day:-3, В 2м/с, 749,  Evening:-3, 749
2012-01-01, Day:-5, В 2м/с, 753,  Evening:-5, 752
2012-01-02, Day:-6, В 2м/с, 751,  Evening:-7, 750
2012-01-03, Day:-6, В 1м/с, 752,  Evening:-9, 752
2012-01-04, Day:-11, Ю 2м/с, 749,  Evening:-9, 749
2012-01-05, Day:-4, Ю 2м/с, 749,  Evening:-2, 749
2012-01-06, Day:-1, Ю 3м/с, 754,  Evening:-5, 755
2012-01-07, Day:-8, ЮВ 2м/с, 756,  Evening:-9, 758
2012-01-08, Day:-10, ЮВ 3м/с, 759,  Evening:-12, 759
2012-01-09, Day:-11, В 4м/с, 758,  Evening:-12, 757
2012-01-10, Day:-11, В 2м/с, 753,  Evening:-11, 752
2012-01-11, Day:-10, ЮЗ 1м/с, 750,  Evening:-12, 750
2012-01-12, Day:-10, Ю 2м/с, 749,  Evening:-8, 748
2012-01-13, Day:-4, Ю 2м/с, 747,  Evening:-4, 747
2012-01-14, Day:-3, ЮВ 2м/с, 749,  Evening:-4, 750
2012-01-15, Day:-3, В 2м/с, 754,  Evening:-4, 755
2012-01-16, Day:-6, ЮВ 3м/с, 754,  Evening:-6, 753
2012-01-17, Day:-4, ЮВ 4м/с, 754,  Evening:-4, 757
2012-01-18, Day:-7, В 4м/с, 758,  Evening:-9, 758
2012-01-19, Day:-11, В 2м/с, 762,  Evening:-14, 762
2012-01-20, Day:-13, В 2м/с, 764,  Evening:-15, 764
2012-01-21, Day:-14, ЮВ 2м/с, 769,  Evening:-15, 769
2012-01-22, Day:-12, В 2м/с, 769,  Evening:-14, 769
2012-01-23, Day:-9, В 2м/с, 767,  Evening:-10, 766
2012-01-24, Day:-6, В 2м/с, 763,  Evening:-7, 762
2012-01-25, Day:-6, В 2м/с, 764,  Evening:-9, 765
2012-01-26, Day:-8, В 3м/с, 770,  Evening:-10, 771
2012-01-27, Day:-9, СВ 3м/с, 769,  Evening:-10, 767
2012-01-28, Day:-10, В 1м/с, 765,  Evening:-14, 766
2012-01-29, Day:-10, СЗ 1м/с, 767,  Evening:-15, 766
2012-01-30, Day:-16, СВ 2м/с, 766,  Evening:-18, 767
