2010-12-01, Day:-17, СЗ 4м/с, 741,  Evening:-21, 746
2010-10-12, Day:+14, ЮВ 2м/с, 736,  Evening:+8, 733
2010-10-13, Day:+4, ЮЗ 3м/с, 732,  Evening:+4, 734
2010-10-14, Day:+2, З 4м/с, 738,  Evening:+3, 742
2010-10-15, Day:+6, ЮЗ 3м/с, 745,  Evening:+5, 745
2010-10-16, Day:+10, З 3м/с, 746,  Evening:+3, 749
2010-10-17, Day:+5, СЗ 2м/с, 753,  Evening:+1, 755
2010-10-18, Day:+7, З 2м/с, 758,  Evening:+4, 758
2010-10-19, Day:+5, СВ 1м/с, 761,  Evening:-1, 763
2010-10-20, Day:+7, ЮВ 2м/с, 764,  Evening:+2, 763
2010-10-21, Day:+1, В 4м/с, 754,  Evening:+3, 752
2010-10-22, Day:+6, Ю 2м/с, 749,  Evening:+7, 751
2010-10-23, Day:+8, ЮЗ 4м/с, 756,  Evening:+5, 758
2010-10-24, Day:+8, Ю 1м/с, 760,  Evening:+4, 760
2010-10-25, Day:+8, В 1м/с, 758,  Evening:+5, 758
2010-10-26, Day:+8, ЮЗ 2м/с, 758,  Evening:+5, 757
2010-10-27, Day:+8, Ю 2м/с, 752,  Evening:+7, 749
2010-10-28, Day:+7, В 2м/с, 744,  Evening:+9, 743
2010-10-29, Day:+3, З 3м/с, 744,  Evening:+1, 746
2010-10-30, Day:+1, ЮЗ 2м/с, 749,  Evening:+1, 751
2010-09-01, Day:+19, В 2м/с, 755,  Evening:+16, 755
2010-09-02, Day:+29, В 6м/с, 752,  Evening:+23, 752
2010-09-03, Day:+29, СВ 2м/с, 750,  Evening:+24, 751
2010-09-04, Day:+23, З 2м/с, 753,  Evening:, 
2010-09-05, Day:+19, С 1м/с, 753,  Evening:+17, 752
2010-09-06, Day:+19, С 3м/с, 747,  Evening:+11, 748
2010-09-07, Day:+13, СЗ 4м/с, 751,  Evening:+9, 752
2010-09-08, Day:+15, СЗ 1м/с, 755,  Evening:+11, 754
2010-09-09, Day:+17, СВ 3м/с, 754,  Evening:+14, 754
2010-09-10, Day:+18, З 3м/с, 755,  Evening:+14, 755
2010-09-11, Day:+17, СВ 2м/с, 758,  Evening:+12, 757
2010-09-12, Day:+20, З 2м/с, 755,  Evening:+16, 754
2010-09-13, Day:+15, В 2м/с, 753,  Evening:+13, 754
2010-09-14, Day:+17, В 2м/с, 757,  Evening:+11, 756
2010-09-15, Day:+19, З 2м/с, 757,  Evening:+13, 755
2010-09-16, Day:+23, З 3м/с, 755,  Evening:+17, 755
2010-09-17, Day:+25, ЮЗ 3м/с, 753,  Evening:+20, 753
2010-09-18, Day:+25, Ю 2м/с, 753,  Evening:+20, 752
2010-09-19, Day:+25, ЮЗ 3м/с, 752,  Evening:+21, 752
2010-09-20, Day:+26, ЮЗ 4м/с, 753,  Evening:+21, 752
2010-09-21, Day:+26, З 2м/с, 752,  Evening:+17, 753
2010-09-22, Day:+24, В 2м/с, 752,  Evening:+21, 750
2010-09-23, Day:+16, ЮВ 2м/с, 747,  Evening:+14, 746
2010-09-24, Day:+12, СЗ 2м/с, 746,  Evening:+11, 747
2010-09-25, Day:+13, С 3м/с, 745,  Evening:+11, 752
2010-09-26, Day:+19, З 2м/с, 752,  Evening:+12, 752
2010-09-27, Day:+20, З 3м/с, 750,  Evening:+14, 750
2010-09-28, Day:+20, ЮЗ 2м/с, 747,  Evening:+18, 745
2010-09-29, Day:+21, З 3м/с, 740,  Evening:+14, 740
2010-08-01, Day:+39, ЮЗ 2м/с, 752,  Evening:+32, 752
2010-08-02, Day:+40, СЗ 2м/с, 751,  Evening:+29, 750
2010-08-03, Day:+38, В 2м/с, 749,  Evening:+33, 749
2010-08-04, Day:+36, СВ 1м/с, 749,  Evening:+32, 749
2010-08-05, Day:+35, СВ 1м/с, 752,  Evening:+29, 752
2010-08-06, Day:+36, ЮВ 2м/с, 753,  Evening:+27, 753
2010-08-07, Day:+37, З 1м/с, 752,  Evening:+26, 752
2010-08-08, Day:+37, С 3м/с, 751,  Evening:+31, 751
2010-08-09, Day:+34, СВ 3м/с, 752,  Evening:+29, 752
2010-08-10, Day:+35, В 2м/с, 752,  Evening:+28, 752
2010-08-11, Day:+34, ЮЗ 1м/с, 752,  Evening:+28, 753
2010-08-12, Day:+36, ЮВ 2м/с, 752,  Evening:+25, 751
2010-08-13, Day:+36, ЮВ 2м/с, 751,  Evening:+30, 752
2010-08-14, Day:+32, СВ 3м/с, 752,  Evening:+25, 752
2010-08-15, Day:+27, С 3м/с, 752,  Evening:+23, 750
2010-08-16, Day:+29, З 2м/с, 749,  Evening:+21, 747
2010-08-17, Day:+29, СЗ 4м/с, 746,  Evening:+23, 746
2010-08-18, Day:+29, З 3м/с, 746,  Evening:+27, 743
2010-08-19, Day:+31, ЮЗ 4м/с, 739,  Evening:+26, 737
2010-08-20, Day:+27, ЮЗ 5м/с, 737,  Evening:+20, 735
2010-08-21, Day:+12, С 4м/с, 742,  Evening:+13, 743
2010-08-22, Day:+18, СЗ 3м/с, 748,  Evening:+14, 748
2010-08-23, Day:+25, З 3м/с, 743,  Evening:+20, 742
2010-08-24, Day:+23, З 2м/с, 743,  Evening:+21, 743
2010-08-25, Day:+27, З 3м/с, 743,  Evening:+26, 743
2010-08-26, Day:+31, ЮЗ 1м/с, 741,  Evening:+21, 740
2010-08-27, Day:+23, ЮЗ 2м/с, 743,  Evening:+18, 743
2010-08-28, Day:+24, З 2м/с, 745,  Evening:+22, 743
2010-08-29, Day:+32, ЮЗ 4м/с, 742,  Evening:+28, 742
2010-08-30, Day:+28, СЗ 3м/с, 741,  Evening:+17, 745
2010-07-01, Day:+27, В 2м/с, 749,  Evening:+23, 749
2010-07-02, Day:+27, ЮВ 2м/с, 750,  Evening:+21, 749
2010-07-03, Day:+29, В 3м/с, 749,  Evening:+26, 748
2010-07-04, Day:+30, СЗ 2м/с, 746,  Evening:+25, 746
2010-07-05, Day:+31, СВ 3м/с, 746,  Evening:+25, 747
2010-07-06, Day:+30, СВ 2м/с, 747,  Evening:+26, 747
2010-07-07, Day:+31, В 2м/с, 746,  Evening:+27, 746
2010-07-08, Day:+32, В 2м/с, 749,  Evening:+25, 749
2010-07-09, Day:+34, З 2м/с, 749,  Evening:+26, 749
2010-07-10, Day:+35, З 3м/с, 749,  Evening:+28, 749
2010-07-11, Day:+36, З 2м/с, 748,  Evening:+29, 748
2010-07-12, Day:+33, СВ 3м/с, 746,  Evening:+29, 746
2010-07-13, Day:+27, С 3м/с, 745,  Evening:+22, 744
2010-07-14, Day:+26, СВ 4м/с, 745,  Evening:+22, 744
2010-07-15, Day:+26, С 3м/с, 745,  Evening:+26, 745
2010-07-16, Day:+31, СВ 5м/с, 746,  Evening:+28, 746
2010-07-17, Day:+35, С 3м/с, 744,  Evening:+30, 746
2010-07-18, Day:+35, З 2м/с, 745,  Evening:+22, 746
2010-07-19, Day:+28, В 2м/с, 749,  Evening:+24, 749
2010-07-20, Day:+29, ЮЗ 3м/с, 752,  Evening:+21, 750
2010-07-21, Day:+34, ЮЗ 3м/с, 750,  Evening:+24, 749
2010-07-22, Day:+35, СВ 1м/с, 750,  Evening:+30, 750
2010-07-23, Day:+35, З 2м/с, 751,  Evening:+27, 750
2010-07-24, Day:+37, СВ 1м/с, 749,  Evening:+32, 749
2010-07-25, Day:+36, ЮВ 2м/с, 749,  Evening:+26, 750
2010-07-26, Day:+38, С 2м/с, 752,  Evening:+31, 752
2010-07-27, Day:+35, В 1м/с, 754,  Evening:+31, 754
2010-07-28, Day:+36, СЗ 2м/с, 752,  Evening:+32, 752
2010-07-29, Day:+38, В 2м/с, 752,  Evening:+32, 752
2010-07-30, Day:+38, Ю 1м/с, 751,  Evening:+32, 752
2010-06-01, Day:+26, ЮЗ 2м/с, 754,  Evening:+22, 753
2010-06-02, Day:+28, СЗ 1м/с, 754,  Evening:+23, 752
2010-06-03, Day:+31, З 2м/с, 740,  Evening:+22, 749
2010-06-04, Day:+33, ЮЗ 3м/с, 748,  Evening:+28, 746
2010-06-05, Day:+30, ЮЗ 2м/с, 743,  Evening:+26, 742
2010-06-06, Day:+20, С 2м/с, 749,  Evening:+14, 749
2010-06-07, Day:+22, СЗ 2м/с, 750,  Evening:+16, 749
2010-06-08, Day:+25, ЮЗ 2м/с, 748,  Evening:+18, 747
2010-06-09, Day:+29, ЮЗ 3м/с, 746,  Evening:+23, 744
2010-06-10, Day:+19, СВ 2м/с, 748,  Evening:+16, 748
2010-06-11, Day:+22, С 1м/с, 749,  Evening:+17, 750
2010-06-12, Day:+27, З 4м/с, 749,  Evening:+26, 747
2010-06-13, Day:+34, З 4м/с, 745,  Evening:+31, 744
2010-06-14, Day:+24, СЗ 1м/с, 744,  Evening:+24, 745
2010-06-15, Day:+27, С 3м/с, 748,  Evening:+22, 747
2010-06-16, Day:+29, С 1м/с, 745,  Evening:+23, 743
2010-06-17, Day:+27, СЗ 3м/с, 740,  Evening:+20, 740
2010-06-18, Day:+22, СЗ 2м/с, 743,  Evening:+19, 745
2010-06-19, Day:+20, С 3м/с, 748,  Evening:+17, 751
2010-06-20, Day:+25, С 2м/с, 754,  Evening:+21, 755
2010-06-21, Day:+26, С 2м/с, 755,  Evening:+19, 755
2010-06-22, Day:+28, С 2м/с, 753,  Evening:+24, 752
2010-06-23, Day:+32, В 2м/с, 750,  Evening:+27, 749
2010-06-24, Day:+33, З 2м/с, 749,  Evening:+23, 748
2010-06-25, Day:+35, СЗ 1м/с, 749,  Evening:+25, 748
2010-06-26, Day:+35, З 2м/с, 749,  Evening:+29, 749
2010-06-27, Day:+36, В 1м/с, 750,  Evening:+29, 750
2010-06-28, Day:+36, В 2м/с, 747,  Evening:+28, 749
2010-06-29, Day:+30, С 3м/с, 747,  Evening:+28, 747
2010-05-01, Day:+17, Ю 3м/с, 752,  Evening:+15, 752
2010-05-02, Day:+20, З 3м/с, 753,  Evening:+19, 752
2010-05-03, Day:+21, З 2м/с, 754,  Evening:+21, 754
2010-05-04, Day:+26, ЮЗ 3м/с, 755,  Evening:+18, 755
2010-05-05, Day:+28, З 1м/с, 754,  Evening:+19, 752
2010-05-06, Day:+29, СЗ 2м/с, 752,  Evening:+21, 752
2010-05-07, Day:+30, З 2м/с, 751,  Evening:+24, 750
2010-05-08, Day:+27, СВ 3м/с, 753,  Evening:+20, 753
2010-05-09, Day:+26, В 3м/с, 751,  Evening:+22, 751
2010-05-10, Day:+24, В 4м/с, 752,  Evening:+19, 752
2010-05-11, Day:+24, В 3м/с, 755,  Evening:+19, 756
2010-05-12, Day:+25, ЮВ 2м/с, 755,  Evening:+21, 753
2010-05-13, Day:+22, ЮВ 2м/с, 754,  Evening:+18, 753
2010-05-14, Day:+25, ЮВ 6м/с, 751,  Evening:+16, 752
2010-05-15, Day:+20, В 3м/с, 752,  Evening:+19, 752
2010-05-16, Day:+26, ЮВ 2м/с, 750,  Evening:+20, 749
2010-05-17, Day:+26, СЗ 1м/с, 747,  Evening:+23, 746
2010-05-18, Day:+21, СВ 2м/с, 746,  Evening:+17, 747
2010-05-19, Day:+22, С 2м/с, 746,  Evening:+16, 746
2010-05-20, Day:+20, СВ 4м/с, 749,  Evening:+15, 750
2010-05-21, Day:+18, ЮВ 2м/с, 754,  Evening:+11, 753
2010-05-22, Day:+21, ЮЗ 3м/с, 749,  Evening:+17, 748
2010-05-23, Day:+24, З 2м/с, 746,  Evening:+16, 746
2010-05-24, Day:+26, ЮВ 1м/с, 743,  Evening:+19, 743
2010-05-25, Day:+24, ЮВ 2м/с, 741,  Evening:+20, 740
2010-05-26, Day:+19, ЮВ 2м/с, 737,  Evening:+19, 737
2010-05-27, Day:+15, ЮЗ 4м/с, 738,  Evening:+11, 740
2010-05-28, Day:+13, ЮЗ 3м/с, 739,  Evening:+13, 741
2010-05-29, Day:+13, СЗ 2м/с, 747,  Evening:+12, 749
2010-05-30, Day:+20, В 2м/с, 752,  Evening:+15, 752
2010-04-01, Day:+10, В 3м/с, 757,  Evening:+6, 758
2010-04-02, Day:+9, ЮВ 2м/с, 759,  Evening:+5, 759
2010-04-03, Day:+8, С 2м/с, 758,  Evening:+6, 757
2010-04-04, Day:+12, СВ 2м/с, 757,  Evening:+7, 756
2010-04-05, Day:+11, СВ 2м/с, 756,  Evening:+8, 755
2010-04-06, Day:+12, СВ 3м/с, 755,  Evening:, 
2010-04-07, Day:+4, В 3м/с, 759,  Evening:+1, 760
2010-04-08, Day:+4, В 3м/с, 761,  Evening:0, 761
2010-04-09, Day:+6, В 2м/с, 758,  Evening:+3, 757
2010-04-10, Day:+9, В 3м/с, 755,  Evening:+5, 755
2010-04-11, Day:+9, С 3м/с, 754,  Evening:+5, 753
2010-04-12, Day:+12, СВ 3м/с, 753,  Evening:+7, 753
2010-04-13, Day:+9, СЗ 2м/с, 752,  Evening:+4, 752
2010-04-14, Day:+8, СЗ 3м/с, 749,  Evening:+2, 751
2010-04-15, Day:+11, ЮЗ 2м/с, 752,  Evening:+8, 751
2010-04-16, Day:+13, З 2м/с, 751,  Evening:+9, 752
2010-04-17, Day:+17, Ю 3м/с, 752,  Evening:+10, 752
2010-04-18, Day:+13, ЮЗ 1м/с, 748,  Evening:+11, 750
2010-04-19, Day:+17, СЗ 3м/с, 749,  Evening:+12, 750
2010-04-20, Day:+20, ЮЗ 3м/с, 750,  Evening:+16, 751
2010-04-21, Day:+21, ЮВ 2м/с, 751,  Evening:+17, 750
2010-04-22, Day:+23, Ю 4м/с, 747,  Evening:+19, 746
2010-04-23, Day:+18, З 4м/с, 748,  Evening:+13, 752
2010-04-24, Day:+14, ЮЗ 3м/с, 758,  Evening:+10, 758
2010-04-25, Day:+17, ЮЗ 3м/с, 752,  Evening:+12, 749
2010-04-26, Day:+11, С 3м/с, 749,  Evening:+4, 749
2010-04-27, Day:+5, СВ 2м/с, 750,  Evening:+1, 752
2010-04-28, Day:+11, СЗ 5м/с, 749,  Evening:+8, 749
2010-04-29, Day:+15, З 4м/с, 747,  Evening:+10, 748
2010-03-01, Day:-8, В 1м/с, 758,  Evening:-10, 758
2010-03-02, Day:-6, В 3м/с, 755,  Evening:-8, 753
2010-03-03, Day:-4, В 1м/с, 752,  Evening:-5, 752
2010-03-04, Day:-4, ЮВ 2м/с, 750,  Evening:-6, 748
2010-03-05, Day:0, ЮЗ 2м/с, 747,  Evening:-4, 750
2010-03-06, Day:-5, В 2м/с, 753,  Evening:-6, 752
2010-03-07, Day:-4, В 2м/с, 749,  Evening:-4, 747
2010-03-08, Day:-3, С 1м/с, 740,  Evening:-5, 742
2010-03-09, Day:-6, СЗ 2м/с, 749,  Evening:-11, 750
2010-03-10, Day:-4, ЮЗ 2м/с, 751,  Evening:-8, 750
2010-03-11, Day:-3, З 4м/с, 746,  Evening:-4, 749
2010-03-12, Day:-1, Ю 2м/с, 751,  Evening:-5, 749
2010-03-13, Day:0, ЮЗ 4м/с, 737,  Evening:-1, 738
2010-03-14, Day:0, З 2м/с, 738,  Evening:-2, 738
2010-03-15, Day:0, ЮЗ 4м/с, 742,  Evening:-4, 744
2010-03-16, Day:+1, ЮЗ 3м/с, 738,  Evening:-4, 740
2010-03-17, Day:-5, З 3м/с, 746,  Evening:-7, 748
2010-03-18, Day:-4, ЮЗ 2м/с, 754,  Evening:-10, 755
2010-03-19, Day:-7, З 4м/с, 755,  Evening:-11, 755
2010-03-20, Day:-2, ЮЗ 2м/с, 746,  Evening:-4, 749
2010-03-21, Day:+3, ЮЗ 1м/с, 746,  Evening:+1, 745
2010-03-22, Day:+3, З 3м/с, 741,  Evening:+2, 739
2010-03-23, Day:+2, СЗ 4м/с, 744,  Evening:-3, 749
2010-03-24, Day:+1, ЮЗ 4м/с, 749,  Evening:-1, 747
2010-03-25, Day:0, С 2м/с, 749,  Evening:-4, 752
2010-03-26, Day:0, СЗ 3м/с, 758,  Evening:-4, 759
2010-03-27, Day:+1, З 5м/с, 758,  Evening:-2, 758
2010-03-28, Day:+4, Ю 2м/с, 758,  Evening:-1, 758
2010-03-29, Day:+5, В 2м/с, 758,  Evening:0, 758
2010-03-30, Day:+5, В 2м/с, 757,  Evening:+2, 757
2010-02-01, Day:-5, ЮВ 3м/с, 758,  Evening:-6, 759
2010-02-02, Day:-7, В 3м/с, 759,  Evening:-9, 760
2010-02-03, Day:-11, В 3м/с, 764,  Evening:-14, 766
2010-02-04, Day:-9, В 2м/с, 772,  Evening:-12, 773
2010-02-05, Day:-9, Ш, 770,  Evening:-13, 768
2010-02-06, Day:-10, СЗ 1м/с, 767,  Evening:-16, 767
2010-02-07, Day:-11, З 1м/с, 767,  Evening:-16, 767
2010-02-08, Day:-13, В 2м/с, 767,  Evening:-15, 767
2010-02-09, Day:-14, В 4м/с, 770,  Evening:-16, 770
2010-02-10, Day:-15, ЮВ 2м/с, 774,  Evening:-18, 775
2010-02-11, Day:-16, ЮВ 2м/с, 776,  Evening:-19, 776
2010-02-12, Day:-12, В 1м/с, 776,  Evening:-16, 776
2010-02-13, Day:-10, З 1м/с, 773,  Evening:-15, 770
2010-02-14, Day:-10, В 3м/с, 764,  Evening:-13, 761
2010-02-15, Day:-10, ЮВ 3м/с, 752,  Evening:-9, 749
2010-02-16, Day:-7, В 2м/с, 740,  Evening:-7, 736
2010-02-17, Day:-6, СЗ 4м/с, 740,  Evening:-10, 743
2010-02-18, Day:-9, З 1м/с, 751,  Evening:-14, 751
2010-02-19, Day:-11, З 3м/с, 746,  Evening:-12, 748
2010-02-20, Day:-4, З 2м/с, 745,  Evening:-8, 746
2010-02-21, Day:-12, В 3м/с, 743,  Evening:-12, 743
2010-02-22, Day:-9, В 4м/с, 743,  Evening:-10, 743
2010-02-23, Day:-7, В 3м/с, 743,  Evening:-8, 745
2010-02-24, Day:-5, СВ 2м/с, 746,  Evening:-6, 747
2010-02-25, Day:-3, Ш, 749,  Evening:-3, 750
2010-02-26, Day:-3, Ш, 754,  Evening:-5, 755
2010-02-27, Day:-3, ЮЗ 2м/с, 755,  Evening:-7, 755
2010-01-01, Day:-4, В 3м/с, 745,  Evening:-1, 742
2010-01-02, Day:-5, В 2м/с, 743,  Evening:-6, 741
2010-01-03, Day:-3, В 1м/с, 734,  Evening:0, 734
2010-01-04, Day:-17, СЗ 2м/с, 743,  Evening:-21, 747
2010-01-05, Day:-19, С 1м/с, 757,  Evening:-21, 759
2010-01-06, Day:-18, Ш, 763,  Evening:-22, 764
2010-01-07, Day:-17, СЗ 2м/с, 767,  Evening:-21, 767
2010-01-08, Day:-20, В 2м/с, 766,  Evening:-17, 764
2010-01-09, Day:-8, Ю 1м/с, 761,  Evening:-8, 760
2010-01-10, Day:-12, Ш, 760,  Evening:-16, 760
2010-01-11, Day:-14, ЮЗ 1м/с, 756,  Evening:-12, 756
2010-01-12, Day:-11, ЮЗ 2м/с, 752,  Evening:-12, 750
2010-01-13, Day:-7, З 3м/с, 747,  Evening:-7, 748
2010-01-14, Day:-8, СЗ 2м/с, 751,  Evening:-12, 755
2010-01-15, Day:-14, Ш, 761,  Evening:-16, 761
2010-01-16, Day:-17, Ш, 768,  Evening:-20, 771
2010-01-17, Day:-17, Ш, 774,  Evening:-22, 774
2010-01-18, Day:-18, З 2м/с, 770,  Evening:-21, 770
2010-01-19, Day:-17, В 1м/с, 769,  Evening:-19, 769
2010-01-20, Day:-17, В 1м/с, 770,  Evening:-17, 770
2010-01-21, Day:-15, Ш, 767,  Evening:-19, 765
2010-01-22, Day:-20, Ш, 763,  Evening:-26, 764
2010-01-23, Day:-22, Ш, 762,  Evening:-27, 762
2010-01-24, Day:-19, Ш, 761,  Evening:-21, 760
2010-01-25, Day:-14, В 2м/с, 761,  Evening:-13, 761
2010-01-26, Day:-7, В 4м/с, 761,  Evening:-10, 764
2010-01-27, Day:-12, В 3м/с, 762,  Evening:-15, 759
2010-01-28, Day:-14, В 2м/с, 749,  Evening:-16, 747
2010-01-29, Day:-15, В 1м/с, 748,  Evening:-20, 750
2010-01-30, Day:-16, В 4м/с, 750,  Evening:-12, 750
