2021-12-01, Day:+2, В 1м/с, 729,  Evening:0, 732
2021-11-12, Day:0, Ю 2м/с, 747,  Evening:-1, 743
2021-11-13, Day:-1, СЗ 2м/с, 745,  Evening:0, 750
2021-11-14, Day:0, СЗ 2м/с, 757,  Evening:-4, 757
2021-11-15, Day:-5, СВ 1м/с, 755,  Evening:-9, 759
2021-11-16, Day:-5, ЮЗ 3м/с, 756,  Evening:-3, 752
2021-11-17, Day:0, Ш, 753,  Evening:-1, 755
2021-11-18, Day:0, ЮЗ 1м/с, 758,  Evening:-2, 755
2021-11-19, Day:-3, ЮВ 2м/с, 751,  Evening:-1, 747
2021-11-20, Day:0, Ю 2м/с, 734,  Evening:0, 728
2021-11-21, Day:+1, З 2м/с, 731,  Evening:+1, 734
2021-11-22, Day:+1, ЮЗ 2м/с, 737,  Evening:-1, 741
2021-11-23, Day:-4, З 2м/с, 748,  Evening:-7, 749
2021-11-24, Day:-7, ЮЗ 1м/с, 752,  Evening:-10, 751
2021-11-25, Day:-1, ЮЗ 3м/с, 747,  Evening:-1, 751
2021-11-26, Day:+1, ЮЗ 2м/с, 754,  Evening:-1, 755
2021-11-27, Day:-1, ЮВ 1м/с, 756,  Evening:-5, 755
2021-11-28, Day:-1, ЮВ 2м/с, 750,  Evening:-1, 751
2021-11-29, Day:+1, В 2м/с, 751,  Evening:0, 749
2021-10-01, Day:+13, З 2м/с, 761,  Evening:+10, 761
2021-10-02, Day:+11, С 1м/с, 761,  Evening:+8, 761
2021-10-03, Day:+10, С 1м/с, 761,  Evening:+9, 762
2021-10-04, Day:+11, СВ 2м/с, 764,  Evening:+6, 766
2021-10-05, Day:+9, Ю 1м/с, 770,  Evening:+6, 770
2021-10-06, Day:+9, С 1м/с, 770,  Evening:+7, 769
2021-10-07, Day:+10, З 2м/с, 770,  Evening:+3, 770
2021-10-08, Day:+13, З 2м/с, 767,  Evening:+4, 765
2021-10-09, Day:+14, С 2м/с, 761,  Evening:+6, 761
2021-10-10, Day:+14, СЗ 1м/с, 760,  Evening:+5, 760
2021-10-11, Day:+12, З 1м/с, 759,  Evening:+4, 758
2021-10-12, Day:+14, В 1м/с, 758,  Evening:+10, 758
2021-10-13, Day:+16, ЮВ 2м/с, 758,  Evening:+9, 759
2021-10-14, Day:+14, ЮВ 2м/с, 757,  Evening:+11, 755
2021-10-15, Day:+10, З 3м/с, 754,  Evening:+7, 755
2021-10-16, Day:+11, З 2м/с, 755,  Evening:+6, 755
2021-10-17, Day:+11, Ш, 752,  Evening:+9, 750
2021-10-18, Day:+9, В 2м/с, 745,  Evening:+9, 743
2021-10-19, Day:+7, СЗ 1м/с, 746,  Evening:+5, 746
2021-10-20, Day:+4, СЗ 3м/с, 749,  Evening:+3, 752
2021-10-21, Day:+3, ЮЗ 3м/с, 744,  Evening:, 
2021-10-24, Day:+9, З 2м/с, 748,  Evening:+6, 749
2021-10-25, Day:+4, СЗ 2м/с, 752,  Evening:+1, 756
2021-10-26, Day:+3, ЮЗ 3м/с, 757,  Evening:+2, 757
2021-10-27, Day:+8, ЮЗ 2м/с, 753,  Evening:+5, 752
2021-10-28, Day:+8, ЮЗ 2м/с, 749,  Evening:+4, 749
2021-10-29, Day:+2, СЗ 1м/с, 758,  Evening:+1, 759
2021-10-30, Day:+7, З 2м/с, 757,  Evening:+7, 758
2021-09-01, Day:+30, ЮЗ 3м/с, 744,  Evening:+24, 742
2021-09-02, Day:+17, Ю 1м/с, 741,  Evening:+16, 739
2021-09-03, Day:+16, З 1м/с, 734,  Evening:+13, 735
2021-09-04, Day:+14, З 3м/с, 740,  Evening:+11, 743
2021-09-05, Day:+15, ЮЗ 3м/с, 749,  Evening:+11, 751
2021-09-06, Day:+13, С 1м/с, 752,  Evening:+8, 754
2021-09-07, Day:+15, З 3м/с, 755,  Evening:+11, 755
2021-09-08, Day:+17, З 3м/с, 752,  Evening:+13, 752
2021-09-09, Day:+16, З 4м/с, 746,  Evening:+17, 746
2021-09-10, Day:+16, З 1м/с, 745,  Evening:+11, 748
2021-09-11, Day:+16, С 2м/с, 752,  Evening:+8, 753
2021-09-12, Day:+21, ЮЗ 2м/с, 750,  Evening:+16, 749
2021-09-13, Day:+24, З 2м/с, 747,  Evening:+20, 746
2021-09-14, Day:+25, З 3м/с, 743,  Evening:+17, 743
2021-09-15, Day:+17, З 4м/с, 743,  Evening:+11, 744
2021-09-16, Day:+13, З 3м/с, 746,  Evening:+9, 747
2021-09-17, Day:+9, З 2м/с, 749,  Evening:+8, 749
2021-09-18, Day:+11, СЗ 3м/с, 752,  Evening:+7, 755
2021-09-19, Day:+12, С 1м/с, 756,  Evening:+7, 756
2021-09-20, Day:+13, В 2м/с, 756,  Evening:+10, 756
2021-09-21, Day:+11, В 4м/с, 752,  Evening:+11, 751
2021-09-22, Day:+10, В 2м/с, 752,  Evening:+9, 752
2021-09-23, Day:+9, В 3м/с, 753,  Evening:+10, 751
2021-09-24, Day:+8, В 2м/с, 749,  Evening:+9, 746
2021-09-25, Day:+14, С 1м/с, 744,  Evening:+9, 745
2021-09-26, Day:+15, В 1м/с, 743,  Evening:+12, 741
2021-09-27, Day:+12, В 3м/с, 744,  Evening:+9, 748
2021-09-28, Day:+10, СВ 4м/с, 754,  Evening:+6, 756
2021-09-29, Day:+9, СВ 3м/с, 758,  Evening:+8, 759
2021-08-01, Day:+32, ЮЗ 3м/с, 748,  Evening:+23, 748
2021-08-02, Day:+34, ЮЗ 2м/с, 748,  Evening:+27, 748
2021-08-03, Day:+37, ЮЗ 2м/с, 746,  Evening:+27, 746
2021-08-04, Day:+34, З 2м/с, 745,  Evening:+25, 746
2021-08-05, Day:+27, СЗ 2м/с, 749,  Evening:+22, 749
2021-08-06, Day:+28, З 2м/с, 749,  Evening:+23, 750
2021-08-07, Day:+30, В 1м/с, 750,  Evening:+25, 751
2021-08-08, Day:, Ш, ,  Evening:+28, 753
2021-08-09, Day:+30, З 2м/с, 753,  Evening:+27, 752
2021-08-10, Day:+32, СЗ 2м/с, 751,  Evening:+27, 751
2021-08-11, Day:+30, СВ 3м/с, 750,  Evening:+24, 751
2021-08-12, Day:+32, ЮВ 2м/с, 752,  Evening:+26, 752
2021-08-13, Day:+32, Ю 2м/с, 752,  Evening:+27, 752
2021-08-14, Day:+32, Ю 2м/с, 751,  Evening:+23, 751
2021-08-15, Day:+28, В 2м/с, 752,  Evening:+25, 751
2021-08-16, Day:+35, ЮЗ 2м/с, 750,  Evening:+25, 751
2021-08-17, Day:+34, З 2м/с, 751,  Evening:+30, 750
2021-08-18, Day:+34, З 2м/с, 749,  Evening:+25, 749
2021-08-19, Day:+38, СЗ 2м/с, 749,  Evening:+32, 749
2021-08-20, Day:+39, ЮВ 1м/с, 749,  Evening:+31, 749
2021-08-21, Day:+38, Ю 2м/с, 749,  Evening:+32, 749
2021-08-22, Day:+35, ЮЗ 3м/с, 747,  Evening:+28, 749
2021-08-23, Day:+29, СЗ 2м/с, 750,  Evening:+21, 750
2021-08-24, Day:+35, В 1м/с, 746,  Evening:+29, 746
2021-08-25, Day:+26, СЗ 4м/с, 747,  Evening:+21, 749
2021-08-26, Day:+26, С 2м/с, 750,  Evening:+20, 752
2021-08-27, Day:+25, С 2м/с, 752,  Evening:+19, 752
2021-08-28, Day:+23, СВ 2м/с, 751,  Evening:+19, 752
2021-08-29, Day:+22, СЗ 2м/с, 752,  Evening:+17, 752
2021-08-30, Day:+24, З 2м/с, 753,  Evening:+16, 753
2021-07-01, Day:+28, З 2м/с, 744,  Evening:+22, 744
2021-07-02, Day:+26, ЮЗ 1м/с, 743,  Evening:+22, 743
2021-07-03, Day:+29, СЗ 1м/с, 743,  Evening:+24, 743
2021-07-04, Day:+27, С 2м/с, 743,  Evening:+22, 744
2021-07-05, Day:+22, СВ 2м/с, 746,  Evening:+21, 747
2021-07-06, Day:+26, В 2м/с, 747,  Evening:+23, 749
2021-07-07, Day:+27, СВ 3м/с, 752,  Evening:+23, 752
2021-07-08, Day:+29, С 2м/с, 750,  Evening:+26, 750
2021-07-09, Day:+32, С 2м/с, 749,  Evening:+27, 749
2021-07-10, Day:+33, СЗ 2м/с, 746,  Evening:+23, 746
2021-07-11, Day:+27, С 2м/с, 746,  Evening:+22, 748
2021-07-12, Day:+26, С 3м/с, 749,  Evening:+23, 750
2021-07-13, Day:+30, СЗ 2м/с, 748,  Evening:+23, 748
2021-07-14, Day:+30, С 1м/с, 748,  Evening:+25, 748
2021-07-16, Day:+30, В 1м/с, 744,  Evening:+21, 744
2021-07-17, Day:+32, ЮЗ 1м/с, 743,  Evening:+27, 744
2021-07-18, Day:+33, З 2м/с, 743,  Evening:+28, 743
2021-07-19, Day:+34, З 2м/с, 743,  Evening:+26, 743
2021-07-20, Day:+25, З 5м/с, 742,  Evening:+22, 742
2021-07-21, Day:+30, З 2м/с, 742,  Evening:+26, 741
2021-07-22, Day:+21, СЗ 3м/с, 739,  Evening:+19, 740
2021-07-23, Day:+24, С 1м/с, 741,  Evening:+20, 742
2021-07-24, Day:+26, СЗ 3м/с, 744,  Evening:+21, 747
2021-07-25, Day:+23, СЗ 2м/с, 753,  Evening:+20, 754
2021-07-26, Day:+24, З 2м/с, 755,  Evening:+18, 754
2021-07-27, Day:+27, З 3м/с, 750,  Evening:+23, 749
2021-07-28, Day:+26, СЗ 2м/с, 749,  Evening:+22, 749
2021-07-29, Day:+23, В 1м/с, 746,  Evening:+23, 744
2021-07-30, Day:+29, З 3м/с, 743,  Evening:+24, 744
2021-06-01, Day:+23, СЗ 2м/с, 746,  Evening:+20, 746
2021-06-02, Day:+21, С 2м/с, 747,  Evening:+15, 748
2021-06-03, Day:+19, СВ 2м/с, 746,  Evening:+19, 747
2021-06-04, Day:+13, В 4м/с, 750,  Evening:+12, 752
2021-06-05, Day:+22, В 3м/с, 752,  Evening:+17, 752
2021-06-06, Day:+25, В 2м/с, 748,  Evening:+21, 748
2021-06-07, Day:+26, В 2м/с, 746,  Evening:+17, 746
2021-06-08, Day:+28, С 1м/с, 745,  Evening:+18, 745
2021-06-09, Day:+28, СЗ 1м/с, 744,  Evening:+22, 745
2021-06-10, Day:+22, СВ 2м/с, 746,  Evening:+17, 748
2021-06-11, Day:+25, В 2м/с, 747,  Evening:+17, 748
2021-06-12, Day:+21, З 2м/с, 747,  Evening:+20, 747
2021-06-13, Day:+27, ЮВ 1м/с, 748,  Evening:+22, 749
2021-06-14, Day:+29, СВ 2м/с, 749,  Evening:+20, 749
2021-06-15, Day:+29, В 2м/с, 747,  Evening:+25, 746
2021-06-16, Day:+29, ЮЗ 3м/с, 744,  Evening:+25, 745
2021-06-17, Day:+25, СЗ 2м/с, 749,  Evening:+18, 752
2021-06-18, Day:+22, С 3м/с, 755,  Evening:+18, 757
2021-06-19, Day:+25, ЮЗ 3м/с, 756,  Evening:+22, 755
2021-06-20, Day:+31, СЗ 2м/с, 753,  Evening:+23, 753
2021-06-21, Day:+32, З 2м/с, 754,  Evening:+23, 754
2021-06-22, Day:+33, ЮЗ 2м/с, 754,  Evening:+25, 753
2021-06-23, Day:+34, СЗ 2м/с, 752,  Evening:+26, 752
2021-06-24, Day:+26, СЗ 1м/с, 752,  Evening:+24, 751
2021-06-25, Day:+34, ЮЗ 1м/с, 749,  Evening:+21, 749
2021-06-26, Day:+35, СЗ 2м/с, 746,  Evening:+27, 747
2021-06-27, Day:+33, З 1м/с, 747,  Evening:+29, 747
2021-06-28, Day:+34, З 2м/с, 747,  Evening:+31, 746
2021-06-29, Day:+36, В 3м/с, 743,  Evening:+30, 742
2021-05-01, Day:+16, Ю 2м/с, 749,  Evening:+16, 747
2021-05-02, Day:+18, З 2м/с, 751,  Evening:+14, 752
2021-05-03, Day:+24, Ю 2м/с, 749,  Evening:+20, 747
2021-05-04, Day:+26, ЮЗ 3м/с, 740,  Evening:+16, 740
2021-05-05, Day:+11, З 3м/с, 745,  Evening:+11, 747
2021-05-06, Day:+21, З 3м/с, 751,  Evening:+17, 750
2021-05-07, Day:+22, ЮЗ 3м/с, 749,  Evening:+18, 749
2021-05-08, Day:+22, З 2м/с, 749,  Evening:+18, 749
2021-05-09, Day:+25, Ю 3м/с, 747,  Evening:+20, 748
2021-05-10, Day:+26, В 2м/с, 750,  Evening:+21, 752
2021-05-11, Day:+25, В 3м/с, 756,  Evening:+18, 757
2021-05-12, Day:+23, ЮВ 3м/с, 756,  Evening:+20, 756
2021-05-13, Day:+28, В 3м/с, 755,  Evening:+23, 754
2021-05-14, Day:+32, Ю 4м/с, 753,  Evening:+26, 753
2021-05-15, Day:+33, Ю 2м/с, 753,  Evening:+27, 752
2021-05-16, Day:+33, ЮЗ 3м/с, 751,  Evening:+21, 751
2021-05-17, Day:+33, Ю 2м/с, 750,  Evening:+22, 750
2021-05-18, Day:+33, СЗ 2м/с, 749,  Evening:+26, 748
2021-05-19, Day:+31, В 2м/с, 748,  Evening:+25, 748
2021-05-20, Day:+19, В 2м/с, 748,  Evening:+18, 746
2021-05-21, Day:+26, З 2м/с, 750,  Evening:+24, 750
2021-05-22, Day:+34, ЮЗ 3м/с, 746,  Evening:+25, 748
2021-05-23, Day:+35, Ю 2м/с, 746,  Evening:+31, 746
2021-05-24, Day:+24, СЗ 3м/с, 749,  Evening:+22, 749
2021-05-25, Day:+24, СЗ 3м/с, 748,  Evening:+16, 750
2021-05-26, Day:+23, С 2м/с, 752,  Evening:+18, 752
2021-05-27, Day:+24, С 1м/с, 753,  Evening:+20, 752
2021-05-28, Day:+29, СВ 2м/с, 748,  Evening:+25, 746
2021-05-29, Day:+26, В 1м/с, 743,  Evening:+21, 742
2021-05-30, Day:+28, З 2м/с, 741,  Evening:+21, 743
2021-04-01, Day:+6, ЮЗ 3м/с, 752,  Evening:+6, 751
2021-04-02, Day:+9, Ю 1м/с, 748,  Evening:+2, 747
2021-04-03, Day:+7, ЮВ 2м/с, 742,  Evening:+3, 741
2021-04-04, Day:+6, СЗ 2м/с, 742,  Evening:+2, 744
2021-04-05, Day:+8, ЮЗ 2м/с, 746,  Evening:+4, 747
2021-04-06, Day:+2, В 4м/с, 743,  Evening:+2, 741
2021-04-07, Day:+8, З 1м/с, 747,  Evening:+5, 749
2021-04-08, Day:+13, ЮВ 2м/с, 747,  Evening:+9, 749
2021-04-09, Day:+5, С 2м/с, 753,  Evening:+2, 755
2021-04-10, Day:+16, В 2м/с, 753,  Evening:+15, 753
2021-04-11, Day:+19, ЮВ 2м/с, 758,  Evening:+11, 759
2021-04-12, Day:+22, В 1м/с, 762,  Evening:+18, 763
2021-04-13, Day:+23, Ю 2м/с, 762,  Evening:+17, 761
2021-04-14, Day:+21, ЮВ 3м/с, 757,  Evening:+17, 755
2021-04-15, Day:+24, В 2м/с, 752,  Evening:+17, 752
2021-04-16, Day:+25, С 1м/с, 751,  Evening:+17, 752
2021-04-17, Day:+22, В 3м/с, 752,  Evening:+16, 752
2021-04-18, Day:+18, СВ 3м/с, 751,  Evening:+14, 752
2021-04-19, Day:+12, В 4м/с, 754,  Evening:+7, 756
2021-04-20, Day:+12, ЮВ 4м/с, 758,  Evening:+8, 757
2021-04-21, Day:+3, В 3м/с, 756,  Evening:+3, 756
2021-04-22, Day:+11, ЮВ 3м/с, 756,  Evening:+6, 758
2021-04-23, Day:+15, В 2м/с, 754,  Evening:+9, 753
2021-04-24, Day:+10, ЮВ 1м/с, 746,  Evening:+9, 745
2021-04-25, Day:+8, ЮЗ 3м/с, 749,  Evening:+8, 749
2021-04-26, Day:+15, З 3м/с, 749,  Evening:+9, 749
2021-04-27, Day:+8, ЮЗ 2м/с, 746,  Evening:+7, 746
2021-04-28, Day:+12, ЮЗ 5м/с, 748,  Evening:+7, 749
2021-04-29, Day:+14, З 3м/с, 752,  Evening:+10, 753
2021-03-01, Day:-9, СЗ 2м/с, 752,  Evening:-12, 752
2021-03-02, Day:-3, ЮЗ 3м/с, 741,  Evening:-2, 740
2021-03-03, Day:0, СЗ 2м/с, 740,  Evening:-3, 743
2021-03-04, Day:-2, ЮЗ 2м/с, 738,  Evening:+1, 738
2021-03-05, Day:-1, СЗ 2м/с, 741,  Evening:-7, 745
2021-03-06, Day:-4, СЗ 1м/с, 748,  Evening:-7, 747
2021-03-07, Day:-5, ЮЗ 3м/с, 745,  Evening:-7, 743
2021-03-08, Day:-1, ЮЗ 3м/с, 739,  Evening:-2, 740
2021-03-09, Day:-2, СВ 1м/с, 743,  Evening:-7, 743
2021-03-10, Day:-12, СЗ 3м/с, 746,  Evening:-16, 749
2021-03-11, Day:-10, З 4м/с, 752,  Evening:-14, 754
2021-03-12, Day:-4, З 1м/с, 759,  Evening:-10, 761
2021-03-13, Day:-7, ЮЗ 2м/с, 762,  Evening:-13, 761
2021-03-14, Day:-5, Ю 3м/с, 759,  Evening:-9, 759
2021-03-15, Day:-3, ЮЗ 2м/с, 758,  Evening:-10, 759
2021-03-16, Day:-3, ЮВ 2м/с, 760,  Evening:-8, 759
2021-03-17, Day:-3, В 4м/с, 754,  Evening:-5, 752
2021-03-18, Day:0, В 2м/с, 743,  Evening:-1, 743
2021-03-19, Day:0, С 2м/с, 738,  Evening:-2, 739
2021-03-20, Day:-1, СЗ 2м/с, 743,  Evening:-2, 744
2021-03-21, Day:0, ЮЗ 2м/с, 743,  Evening:-4, 744
2021-03-22, Day:+1, Ю 2м/с, 744,  Evening:0, 745
2021-03-23, Day:+3, Ю 2м/с, 747,  Evening:0, 748
2021-03-24, Day:+2, В 2м/с, 749,  Evening:0, 749
2021-03-25, Day:+4, СВ 3м/с, 748,  Evening:+2, 748
2021-03-26, Day:+6, В 2м/с, 746,  Evening:-1, 746
2021-03-27, Day:+5, СЗ 1м/с, 746,  Evening:+3, 749
2021-03-28, Day:+4, СВ 3м/с, 754,  Evening:+2, 756
2021-03-29, Day:+6, В 2м/с, 761,  Evening:+3, 761
2021-03-30, Day:+9, СЗ 1м/с, 764,  Evening:-2, 763
2021-02-01, Day:-2, З 2м/с, 752,  Evening:-4, 754
2021-02-02, Day:+1, З 2м/с, 749,  Evening:-4, 751
2021-02-03, Day:-6, В 2м/с, 751,  Evening:-5, 749
2021-02-04, Day:+2, Ю 2м/с, 744,  Evening:+1, 744
2021-02-05, Day:+1, ЮВ 3м/с, 735,  Evening:+1, 733
2021-02-06, Day:-10, З 4м/с, 736,  Evening:-14, 738
2021-02-07, Day:-18, З 3м/с, 740,  Evening:-19, 741
2021-02-08, Day:-19, З 3м/с, 747,  Evening:-21, 751
2021-02-09, Day:-17, З 2м/с, 757,  Evening:-17, 756
2021-02-10, Day:-15, В 2м/с, 752,  Evening:-16, 753
2021-02-11, Day:-10, В 3м/с, 752,  Evening:-9, 751
2021-02-12, Day:-6, В 3м/с, 750,  Evening:-4, 749
2021-02-13, Day:-1, ЮВ 2м/с, 743,  Evening:-3, 743
2021-02-14, Day:-10, З 2м/с, 744,  Evening:-15, 747
2021-02-15, Day:-15, З 2м/с, 750,  Evening:-19, 752
2021-02-16, Day:-16, З 2м/с, 757,  Evening:-20, 758
2021-02-17, Day:-16, В 2м/с, 756,  Evening:-19, 755
2021-02-18, Day:-13, С 1м/с, 750,  Evening:-19, 752
2021-02-19, Day:-15, З 3м/с, 750,  Evening:-18, 751
2021-02-20, Day:-15, З 2м/с, 757,  Evening:-22, 758
2021-02-21, Day:-16, Ш, 757,  Evening:-20, 757
2021-02-22, Day:-17, СЗ 2м/с, 752,  Evening:-22, 753
2021-02-23, Day:-24, СЗ 3м/с, 756,  Evening:-25, 759
2021-02-24, Day:-19, СЗ 3м/с, 761,  Evening:-22, 762
2021-02-25, Day:-19, ЮВ 1м/с, 757,  Evening:-17, 752
2021-02-26, Day:-13, В 3м/с, 749,  Evening:-12, 743
2021-02-27, Day:+3, ЮЗ 2м/с, 735,  Evening:-9, 737
2021-01-01, Day:-9, В 2м/с, 761,  Evening:-11, 761
2021-01-02, Day:-12, В 3м/с, 761,  Evening:-11, 760
2021-01-03, Day:-6, ЮВ 1м/с, 762,  Evening:-5, 764
2021-01-04, Day:-4, ЮВ 1м/с, 767,  Evening:-3, 767
2021-01-05, Day:-6, ЮЗ 2м/с, 766,  Evening:-9, 766
2021-01-06, Day:-13, В 3м/с, 764,  Evening:-15, 764
2021-01-07, Day:-12, В 3м/с, 759,  Evening:-11, 758
2021-01-08, Day:-8, В 4м/с, 755,  Evening:-9, 752
2021-01-09, Day:-3, В 2м/с, 751,  Evening:-3, 748
2021-01-10, Day:-3, З 3м/с, 741,  Evening:-6, 745
2021-01-11, Day:-15, С 2м/с, 749,  Evening:-19, 750
2021-01-12, Day:-17, В 2м/с, 754,  Evening:-18, 755
2021-01-13, Day:-17, В 3м/с, 759,  Evening:-16, 758
2021-01-14, Day:-11, В 3м/с, 749,  Evening:-10, 747
2021-01-15, Day:-6, СВ 3м/с, 743,  Evening:-6, 740
2021-01-16, Day:-7, ЮЗ 3м/с, 740,  Evening:-5, 739
2021-01-17, Day:-14, З 2м/с, 746,  Evening:-18, 749
2021-01-18, Day:-18, З 1м/с, 751,  Evening:-17, 749
2021-01-19, Day:-16, З 2м/с, 746,  Evening:-21, 747
2021-01-20, Day:-19, З 2м/с, 749,  Evening:-21, 751
2021-01-21, Day:-14, З 3м/с, 752,  Evening:-12, 752
2021-01-22, Day:-10, З 2м/с, 750,  Evening:-14, 753
2021-01-23, Day:-9, В 2м/с, 755,  Evening:-8, 754
2021-01-24, Day:+3, ЮЗ 1м/с, 757,  Evening:0, 758
2021-01-25, Day:-2, ЮВ 2м/с, 759,  Evening:-3, 759
2021-01-26, Day:-7, ЮВ 2м/с, 758,  Evening:-7, 758
2021-01-27, Day:-7, ЮВ 2м/с, 756,  Evening:-7, 755
2021-01-28, Day:-7, В 3м/с, 751,  Evening:-7, 749
2021-01-29, Day:-3, ЮВ 1м/с, 745,  Evening:-4, 744
2021-01-30, Day:-3, В 3м/с, 746,  Evening:-2, 746
